Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Rory McIlroy,334.0,60.7,75.0,1.556,2,23,39,7,0,-21
,T2,Sungjae Im,298.0,67.9,80.6,1.638,2,19,45,5,1,-20
,T2,Scottie Scheffler,312.8,60.7,66.7,1.729,1,14,51,6,0,-20
,4,Xander Schauffele,294.8,75.0,75.0,1.722,1,17,47,7,0,-18
,T5,Max Homa,304.9,64.3,68.1,1.673,1,19,46,6,0,-17
,T5,Justin Thomas,312.3,60.7,68.1,1.612,0,22,42,8,0,-17
,T7,Sepp Straka,303.0,58.5,75.0,1.725,0,18,43,7,0,-16
,T7,Patrick Cantlay,310.6,58.9,77.8,1.804,1,12,53,6,0,-16
,9,Tony Finau,315.7,58.9,73.6,1.717,0,16,51,5,0,-15
,10,Tom Hoge,298.4,60.7,70.8,1.686,0,18,49,5,0,-14
,T11,Joaquín Niemann,302.8,69.6,69.4,1.64,2,17,43,10,0,-13
,T11,Hideki Matsuyama,296.0,51.8,66.7,1.667,0,19,45,8,0,-13
,T13,Jordan Spieth,300.8,53.6,76.4,1.745,0,18,47,6,1,-12
,T13,Aaron Wise,305.3,53.6,69.4,1.64,1,18,46,6,1,-12
,T15,Viktor Hovland,304.3,67.4,71.0,1.568,1,18,31,11,1,-11
,T15,J.T. Poston,299.9,53.7,64.2,1.765,1,10,40,2,0,-11
,T15,Matt Fitzpatrick,316.3,62.5,69.4,1.74,2,12,52,4,2,-11
,T15,Jon Rahm,310.1,53.6,66.7,1.604,0,22,36,14,0,-11
,19,Cameron Young,322.4,51.8,63.9,1.652,1,18,43,7,3,-10
,20,Cameron Smith,293.6,53.6,66.7,1.729,1,15,44,12,0,-9
,T21,Brian Harman,298.7,67.9,72.2,1.769,0,14,51,7,0,-8
,T21,Billy Horschel,298.5,57.8,62.1,1.833,1,10,41,6,0,-8
,T21,Collin Morikawa,298.0,71.4,75.0,1.833,0,15,49,8,0,-8
,24,Sam Burns,318.5,42.9,56.6,1.733,0,10,33,8,2,-7
,25,Adam Scott,297.9,54.7,69.6,1.729,0,14,44,11,0,-4
,26,Corey Conners,298.3,69.6,73.6,1.849,0,14,47,10,1,-3
,27,K.H. Lee,306.2,46.4,63.9,1.739,0,15,44,12,1,-1
,28,Sahith Theegala,295.9,51.8,65.3,1.766,0,11,51,8,2,1
,29,Scott Stallings,305.4,30.4,51.4,1.838,0,9,48,15,0,3
