Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Will Zalatoris,321.2,56.9,69.3,1.635,0,21,48,5,1,-15
,2,Sepp Straka,305.3,63.8,74.3,1.618,0,21,47,6,0,-15
,T3,Lucas Glover,297.2,71.4,66.7,1.563,0,24,36,12,0,-12
,T3,Brian Harman,295.3,66.1,73.6,1.717,1,16,50,4,1,-12
,T5,Jon Rahm,320.3,66.1,77.8,1.786,0,17,49,6,0,-11
,T5,Adam Scott,307.9,53.6,68.1,1.633,0,21,43,6,2,-11
,T5,Collin Morikawa,298.9,75.0,68.1,1.592,0,22,40,9,1,-11
,T5,Matt Fitzpatrick,312.7,67.9,62.5,1.756,1,14,52,5,0,-11
,T5,Andrew Putnam,285.2,62.5,69.4,1.7,0,16,51,5,0,-11
,T5,Tony Finau,318.8,50.0,66.7,1.646,0,19,45,8,0,-11
,T5,Trey Mullinax,316.1,51.8,70.8,1.647,1,19,42,10,0,-11
,12,Sungjae Im,306.9,71.4,70.8,1.725,1,16,47,8,0,-10
,T13,Lee Hodges,300.6,55.4,68.1,1.714,0,18,46,7,1,-9
,T13,Cam Davis,312.4,57.1,59.7,1.651,0,18,45,9,0,-9
,T13,Justin Thomas,320.2,48.2,63.9,1.696,0,20,42,9,1,-9
,T13,Joaquín Niemann,301.8,60.7,68.1,1.694,0,20,44,6,1,-9
,T13,Tom Kim,300.9,76.8,75.0,1.704,0,18,46,7,1,-9
,T13,Sahith Theegala,301.4,64.3,63.9,1.717,0,15,51,6,0,-9
,T13,Cameron Smith,302.0,55.4,68.1,1.673,2,15,47,7,0,-9
,T20,Viktor Hovland,305.1,58.9,66.7,1.729,0,18,45,8,1,-8
,T20,J.T. Poston,294.9,46.4,65.3,1.745,1,13,52,5,1,-8
,T20,Kevin Kisner,282.4,60.7,69.4,1.66,0,20,42,9,0,-8
,T20,Dylan Frittelli,321.8,46.4,63.9,1.717,1,19,39,13,0,-8
,T20,K.H. Lee,315.5,67.9,62.5,1.667,0,16,48,8,0,-8
,T20,Denny McCarthy,289.5,64.3,70.8,1.686,2,14,46,10,0,-8
,T20,Sam Burns,311.5,58.9,66.7,1.729,0,16,48,8,0,-8
,T20,Ryan Palmer,310.4,55.4,56.9,1.61,1,18,42,10,1,-8
,T28,Corey Conners,311.4,75.0,73.6,1.755,1,13,50,8,0,-7
,T28,Wyndham Clark,307.8,53.6,58.3,1.643,1,17,43,10,1,-7
,T28,Troy Merritt,292.8,71.4,70.8,1.627,2,18,40,10,1,-7
,T31,Maverick McNealy,313.8,57.1,69.4,1.68,0,18,44,8,2,-6
,T31,Cameron Young,330.9,60.7,72.2,1.769,0,17,44,11,0,-6
,T31,Aaron Wise,309.1,58.9,63.9,1.63,0,18,44,8,2,-6
,T31,Taylor Moore,302.6,53.6,63.9,1.674,0,19,41,11,1,-6
,T31,Michael Thompson,287.8,60.7,59.7,1.674,0,15,49,7,1,-6
,T31,Emiliano Grillo,303.6,53.6,66.7,1.729,0,17,45,9,1,-6
,T31,Keith Mitchell,313.8,67.9,72.2,1.731,0,16,47,8,1,-6
,T31,Davis Riley,313.1,67.9,66.7,1.708,0,15,49,7,1,-6
,T31,Tyrrell Hatton,318.1,51.8,65.3,1.638,0,19,42,9,2,-6
,T31,Adam Schenk,319.7,48.2,59.7,1.721,0,16,47,8,1,-6
,T31,Tyler Duncan,300.3,66.1,58.3,1.643,1,17,44,7,3,-6
,T42,Si Woo Kim,298.1,73.2,59.7,1.791,1,14,46,11,0,-5
,T42,Mito Pereira,308.0,53.6,65.3,1.745,0,18,42,11,1,-5
,T42,Max Homa,308.3,53.6,63.9,1.783,0,15,49,6,2,-5
,T42,J.J. Spaun,298.4,71.4,66.7,1.688,0,18,43,9,2,-5
,T46,Mackenzie Hughes,298.1,51.8,63.9,1.761,0,14,49,8,1,-4
,T46,Stephan Jaeger,303.0,48.2,58.3,1.69,1,14,46,10,1,-4
,T46,Sebastián Muñoz,296.3,71.4,65.3,1.681,0,15,47,9,1,-4
,T46,Shane Lowry,312.5,55.4,54.2,1.641,1,16,44,8,3,-4
,T46,David Lipsky,293.0,57.1,65.3,1.66,0,17,43,11,1,-4
,T51,Gary Woodland,319.4,60.7,59.7,1.814,0,14,48,9,1,-3
,T51,Aaron Rai,296.1,78.6,70.8,1.765,0,13,51,6,2,-3
,T51,Robert Streb,304.9,51.8,61.1,1.75,0,14,47,11,0,-3
,T51,Chez Reavie,290.9,71.4,63.9,1.739,0,13,49,10,0,-3
,T51,Sam Ryder,295.0,62.5,68.1,1.735,1,13,48,8,2,-3
,T51,Adam Svensson,291.6,67.9,62.5,1.644,1,14,44,13,0,-3
,T57,Beau Hossler,308.5,53.6,63.9,1.761,0,13,49,9,1,-2
,T57,Xander Schauffele,310.5,53.6,62.5,1.822,0,14,48,9,0,-2
,T57,Patrick Cantlay,308.3,62.5,62.5,1.756,0,14,48,8,2,-2
,T57,Martin Laird,297.5,57.1,62.5,1.756,1,11,49,11,0,-2
,T61,Greyson Sigg,297.0,57.1,68.1,1.714,0,16,44,9,3,-1
,T61,James Hahn,315.6,57.1,69.4,1.76,0,14,47,10,0,-1
,T61,Hayden Buckley,308.9,62.5,65.3,1.766,1,14,45,10,1,-1
,T64,Marc Leishman,309.5,46.4,55.6,1.625,0,21,33,16,0,1
,T64,Christiaan Bezuidenhout,292.7,55.4,56.9,1.659,0,16,41,13,2,1
,T64,Rickie Fowler,307.8,64.3,54.2,1.718,1,12,49,8,1,1
,67,Brendon Todd,274.9,60.7,50.0,1.667,0,15,42,14,0,2
,68,Taylor Pendrith,311.3,48.2,58.3,1.714,0,15,42,13,1,3
,69,Adam Hadwin,296.7,46.4,59.7,1.86,0,10,46,13,3,9
