Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Sam Burns,305.0,57.4,70.3,1.577,2,21,44,7,0,-17
,2,Davis Riley,308.8,59.3,63.0,1.652,1,21,47,3,0,-17
,T3,Justin Thomas,312.3,59.6,66.7,1.583,1,20,46,4,1,-16
,T3,Matt NeSmith,298.5,69.2,75.0,1.685,1,20,45,6,0,-16
,T5,Matt Fitzpatrick,306.1,71.2,75.0,1.722,0,17,52,3,0,-14
,T5,Brian Harman,290.9,63.5,68.1,1.612,1,20,43,8,0,-14
,T7,Sahith Theegala,299.1,61.5,63.9,1.63,1,17,47,7,0,-12
,T7,Kevin Streelman,290.4,63.5,65.3,1.766,0,15,54,3,0,-12
,T7,Stewart Cink,306.4,59.6,75.0,1.722,1,14,54,2,1,-12
,T7,Robert Streb,303.8,53.9,75.0,1.741,0,20,45,6,1,-12
,T7,Adam Hadwin,301.6,73.1,72.2,1.712,0,18,48,6,0,-12
,T12,Brooks Koepka,313.1,55.8,75.0,1.704,1,16,48,7,0,-11
,T12,Shane Lowry,310.6,65.4,66.7,1.792,0,15,53,4,0,-11
,T12,Alex Noren,292.5,51.9,58.3,1.643,2,15,47,8,0,-11
,T12,Xander Schauffele,308.6,75.0,61.1,1.727,0,19,46,6,1,-11
,T16,Luke Donald,289.6,55.8,70.8,1.686,0,19,44,9,0,-10
,T16,Brian Stuard,275.5,63.5,62.5,1.667,1,15,49,7,0,-10
,T16,Matt Kuchar,290.7,67.3,63.9,1.652,1,15,49,7,0,-10
,T16,Scott Stallings,303.4,53.9,56.9,1.61,0,18,46,8,0,-10
,T16,Tommy Fleetwood,302.5,55.8,69.4,1.7,1,15,49,7,0,-10
,T21,Brandon Hagy,311.0,42.3,55.6,1.675,1,15,48,8,0,-9
,T21,Richy Werenski,296.0,53.9,63.9,1.761,0,15,51,6,0,-9
,T21,Tyrrell Hatton,306.7,44.2,69.4,1.72,1,16,46,9,0,-9
,T21,Gary Woodland,309.5,46.2,61.1,1.682,0,19,44,8,1,-9
,T25,Austin Smotherman,307.6,61.5,65.3,1.681,0,18,45,8,1,-8
,T25,Tyler Duncan,288.5,65.4,61.1,1.727,2,13,50,5,2,-8
,T27,Mito Pereira,305.7,61.5,66.7,1.708,1,13,51,6,1,-7
,T27,J.J. Spaun,289.9,73.1,75.0,1.759,0,15,50,6,1,-7
,T27,Jhonattan Vegas,313.6,50.0,72.2,1.635,1,20,38,11,2,-7
,T27,Nate Lashley,288.3,57.7,70.8,1.784,0,15,49,8,0,-7
,T27,Brice Garnett,288.3,73.1,62.5,1.689,0,15,50,6,1,-7
,T27,Troy Merritt,287.3,57.7,68.1,1.714,0,20,41,9,2,-7
