Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Jason Day,306.7,64.3,77.8,1.643,0,26,43,3,0,-23
,T2,Si Woo Kim,289.8,67.9,69.4,1.58,0,24,46,2,0,-22
,T2,Austin Eckroat,301.3,73.2,75.0,1.574,0,26,43,2,1,-22
,4,C.T. Pan,304.3,69.6,76.4,1.673,4,17,47,4,0,-21
,T5,Tyrrell Hatton,305.7,64.3,80.6,1.638,1,23,43,5,0,-20
,T5,Scottie Scheffler,310.7,67.9,79.2,1.596,2,23,40,7,0,-20
,T5,Zecheng Dou,306.9,67.9,76.4,1.6,0,26,41,4,1,-20
,T8,Adam Scott,318.3,51.8,70.8,1.588,0,26,39,7,0,-19
,T8,Vincent Norrman,320.9,69.6,75.0,1.593,3,20,43,5,1,-19
,T8,Ryan Palmer,303.2,62.5,80.6,1.69,0,25,41,6,0,-19
,T11,Stephan Jaeger,315.4,73.2,72.2,1.635,0,26,39,6,1,-18
,T11,Kevin Tway,309.9,44.6,81.9,1.729,2,18,48,4,0,-18
,T11,Richy Werenski,294.0,67.9,70.8,1.627,1,20,47,4,0,-18
,T14,Peter Kuest,328.2,73.2,76.4,1.673,0,23,43,6,0,-17
,T14,Byeong Hun An,323.6,51.8,72.2,1.635,1,19,48,4,0,-17
,T14,Mackenzie Hughes,308.8,58.9,66.7,1.646,1,21,44,6,0,-17
,T14,Carson Young,300.7,75.0,73.6,1.679,0,19,51,2,0,-17
,T14,Sung Kang,310.8,53.6,75.0,1.704,0,20,49,3,0,-17
,T19,Séamus Power,307.3,66.1,75.0,1.685,0,23,42,7,0,-16
,T19,Doug Ghim,300.3,75.0,84.7,1.721,1,20,46,4,1,-16
,T19,Joseph Bramlett,320.2,57.1,76.4,1.618,0,24,40,8,0,-16
,T19,Scott Piercy,294.0,62.5,75.0,1.648,0,25,38,9,0,-16
,T23,Brandon Wu,282.2,60.7,75.0,1.685,1,19,46,6,0,-15
,T23,Nate Lashley,288.6,62.5,75.0,1.704,1,18,48,5,0,-15
,T23,Trevor Cone,316.6,60.7,75.0,1.685,1,20,45,5,1,-15
,T23,Eric Cole,291.5,57.1,66.7,1.688,1,20,44,7,0,-15
,T23,Christiaan Bezuidenhout,294.2,69.6,73.6,1.604,0,21,45,6,0,-15
,T23,Hideki Matsuyama,292.5,55.4,79.2,1.702,0,19,49,4,0,-15
,T23,Aaron Baddeley,288.5,58.9,70.8,1.627,0,21,45,6,0,-15
,T30,Garrick Higgo,308.7,67.9,75.0,1.741,1,20,44,6,1,-14
,T30,Doc Redman,292.7,66.1,77.8,1.732,0,22,42,8,0,-14
,T30,Matt NeSmith,304.6,66.1,76.4,1.727,1,17,49,5,0,-14
,T30,Patton Kizzire,302.1,62.5,75.0,1.722,0,18,50,4,0,-14
,T34,Tom Kim,299.4,66.1,68.1,1.694,0,20,45,7,0,-13
