Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Nico Echavarria,316.4,42.9,77.8,1.643,2,23,41,6,0,-21
,2,Akshay Bhatia,308.3,57.1,68.1,1.653,0,26,40,5,1,-19
,T3,Nate Lashley,302.6,51.8,73.6,1.642,0,25,38,9,0,-16
,T3,Carson Young,316.1,46.4,75.0,1.648,3,17,45,7,0,-16
,5,Michael Kim,304.3,50.0,70.8,1.706,1,20,44,7,0,-15
,6,Wesley Bryan,313.5,53.6,75.0,1.759,0,20,47,4,1,-14
,T7,Cody Gribble,317.6,64.3,73.6,1.698,1,18,46,7,0,-13
,T7,John VanDerLaan,306.9,58.9,76.4,1.764,1,14,54,3,0,-13
,T7,Harry Higgs,312.9,48.2,73.6,1.717,0,19,48,4,1,-13
,T7,Harry Hall,300.6,50.0,76.4,1.727,1,18,46,7,0,-13
,T11,Bill Haas,300.6,44.6,70.8,1.686,0,22,40,10,0,-12
,T11,Tano Goya,304.9,50.0,80.6,1.776,0,20,45,6,1,-12
,T11,Ryan Gerard,311.5,50.0,72.2,1.731,0,19,46,7,0,-12
,T11,Geoff Ogilvy,300.4,51.8,69.4,1.72,0,19,48,3,2,-12
,T15,Kevin Chappell,308.5,48.2,69.4,1.7,1,16,48,7,0,-11
,T15,Henrik Norlander,296.3,50.0,76.4,1.891,0,13,57,2,0,-11
,T15,Grayson Murray,312.8,48.2,77.8,1.75,1,16,48,7,0,-11
,T15,Chris Stroud,299.4,53.6,70.8,1.725,0,17,49,6,0,-11
,T15,Augusto Núñez,321.0,42.9,69.4,1.84,1,16,48,7,0,-11
,T15,Sam Stevens,312.6,41.1,69.4,1.76,1,16,50,3,2,-11
,T21,Richy Werenski,313.3,46.4,72.2,1.654,0,22,39,10,1,-10
,T21,Anders Albertson,303.0,55.4,62.5,1.644,0,18,47,6,1,-10
,T21,Hank Lebioda,311.1,50.0,72.2,1.75,0,17,48,7,0,-10
,T21,Paul Haley II,296.4,60.7,65.3,1.723,0,17,48,7,0,-10
,T21,Scott Piercy,300.3,39.3,72.2,1.731,0,18,46,8,0,-10
,T21,Vincent Norrman,312.4,33.9,69.4,1.66,1,19,43,7,2,-10
,T21,Derek Lamely,307.6,39.3,65.3,1.702,1,14,51,6,0,-10
,T21,Derek Ernst,321.5,46.4,73.6,1.623,0,20,42,10,0,-10
,T29,Josh Teater,307.9,58.9,76.4,1.727,0,20,41,11,0,-9
,T29,Scott Harrington,306.4,50.0,73.6,1.755,0,19,43,10,0,-9
,T29,S.Y. Noh,313.0,35.7,65.3,1.638,2,16,45,7,2,-9
,32,Erik van Rooyen,296.6,50.0,68.1,1.796,0,19,42,11,0,-8
,T33,Greg Chalmers,286.5,46.4,68.1,1.653,1,19,41,8,3,-7
,T33,Scott Brown,300.3,67.9,73.6,1.792,2,12,50,7,1,-7
,T33,Max McGreevy,294.0,44.6,69.4,1.72,0,17,45,10,0,-7
,T33,Ricky Barnes,298.4,39.3,66.7,1.729,0,14,53,4,0,-7
,T33,Noah Goodwin,308.1,50.0,65.3,1.596,1,21,36,12,2,-7
,T33,Kevin Roy,311.4,62.5,68.1,1.714,0,20,40,11,1,-7
,T33,Matti Schmid,315.0,51.8,75.0,1.796,0,14,51,7,0,-7
,T40,Brandon Matthews,321.8,33.9,66.7,1.729,1,17,43,9,2,-6
,T40,Brent Grant,319.6,58.9,66.7,1.917,1,15,46,9,1,-6
,T40,Trevor Werbylo,299.6,37.5,70.8,1.804,0,13,52,7,0,-6
,T40,Andrew Landry,296.4,64.3,66.7,1.792,0,15,49,7,1,-6
,T44,Jason Dufner,297.4,53.6,69.4,1.76,0,17,46,7,1,-5
,T44,D.J. Trahan,301.9,37.5,70.8,1.784,1,13,50,6,2,-5
,T44,Andrew Novak,303.4,55.4,65.3,1.809,0,13,51,8,0,-5
,T44,Jim Herman,298.8,50.0,77.8,1.786,0,18,42,11,1,-5
,T48,Rafael Campos,320.8,41.1,63.9,1.761,0,16,44,12,0,-4
,T48,Ryan Blaum,286.6,48.2,77.8,1.768,0,15,48,8,0,-4
,T48,Jonathan Byrd,286.1,44.6,65.3,1.766,0,13,51,7,1,-4
,T48,Camilo Villegas,291.6,46.4,63.9,1.739,0,17,42,13,0,-4
,T48,Dylan Wu,303.5,55.4,69.4,1.86,0,10,57,4,1,-4
,T48,Brice Garnett,291.3,64.3,76.4,1.764,0,16,45,10,1,-4
,T54,Kyle Stanley,291.9,58.9,75.0,1.815,0,13,49,10,0,-3
,T54,Kevin Stadler,286.0,50.0,70.8,1.824,0,12,52,7,1,-3
,T54,Jiri Zuska,313.4,48.2,61.1,1.773,1,13,47,10,1,-3
,T57,Nick Watney,284.8,39.3,59.7,1.744,0,15,47,8,1,-2
,T57,William McGirt,288.6,60.7,69.4,1.86,0,10,54,8,0,-2
,T59,Brandon Harkins,311.6,55.4,65.3,1.872,0,14,45,13,0,-1
,T59,Ted Potter Jr.,283.9,67.9,69.4,1.84,1,11,49,10,1,-1
,T61,Ryan Armour,291.0,53.6,70.8,1.824,1,11,48,11,1,E
,T61,Sean O'Hair,300.6,46.4,62.5,1.733,0,17,42,9,4,E
,T61,George McNeill,302.1,55.4,58.3,1.81,0,14,45,12,1,E
,T64,Richard S. Johnson,274.4,58.9,62.5,1.733,0,14,44,13,1,+1
,T64,Jonas Blixt,300.4,50.0,65.3,1.745,1,14,44,10,2,+1
,T64,Martin Trainer,309.6,42.9,59.7,1.814,0,10,53,7,2,+1
,T64,MJ Daffue,315.1,44.6,65.3,1.915,1,10,49,11,1,+1
,68,Ben Crane,301.9,46.4,65.3,1.787,0,14,44,12,2,+2
,69,Sung Kang,297.3,35.7,63.9,1.826,0,12,46,13,1,+3
,70,Trevor Cone,310.5,48.2,70.8,1.922,0,11,48,10,2,+6
