Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Ludvig Åberg,289.5,82.4,90.9,1.85,1,3,18,0,0,-29
,2,Mackenzie Hughes,278.0,75.0,76.2,1.563,0,8,11,2,0,-25
,T3,Tyler Duncan,0.0,100.0,66.7,2.0,0,0,3,0,0,-22
,T3,Eric Cole,285.3,81.3,71.4,1.6,0,8,11,2,0,-22
,T5,Adam Svensson,0.0,75.0,100.0,2.2,0,0,4,1,0,-19
,T5,Ben Kohles,0.0,100.0,100.0,1.75,0,1,3,0,0,-19
,T5,Denny McCarthy,276.4,88.9,81.8,1.611,1,7,12,2,0,-19
,T8,Ben Griffin,283.7,75.0,80.0,1.75,0,1,4,0,0,-18
,T8,Taylor Montgomery,264.5,73.3,84.2,1.75,0,4,14,1,0,-18
,T8,Ryan Moore,266.0,81.3,84.2,1.875,0,3,15,1,0,-18
,T8,Austin Eckroat,286.7,66.7,89.5,1.647,0,7,12,0,0,-18
,T8,Greyson Sigg,267.1,50.0,80.0,1.75,0,1,4,0,0,-18
,T13,Russell Henley,0.0,100.0,100.0,2.333,0,0,2,1,0,-17
,T13,J.J. Spaun,277.5,75.0,80.0,2.0,0,0,5,0,0,-17
,T13,Charley Hoffman,282.5,50.0,80.0,2.0,0,0,5,0,0,-17
,T13,Vince Whaley,0.0,66.7,50.0,2.0,0,0,4,0,0,-17
,T13,Peter Kuest,297.5,87.5,90.0,1.889,0,5,15,0,0,-17
,T13,Sam Ryder,292.5,50.0,33.3,2.0,0,0,3,0,0,-17
,T19,Tano Goya,0.0,33.3,50.0,1.5,0,2,2,0,0,-16
,T19,Luke List,0.0,75.0,100.0,2.0,0,0,4,0,0,-16
,T19,Kelly Kraft,274.1,94.1,95.5,1.81,0,6,14,2,0,-16
,T19,Adam Schenk,0.0,0.0,33.3,2.0,0,0,3,0,0,-16
,T23,Jacob Solomon,269.5,88.2,81.0,1.765,0,4,14,3,0,-15
,T23,Fred Biondi,290.6,68.8,71.4,1.8,1,3,15,2,0,-15
,T23,Nick Hardy,0.0,50.0,40.0,3.5,0,0,3,2,0,-15
,T23,Kevin Tway,0.0,100.0,83.3,1.8,0,1,5,0,0,-15
,T23,Alex Noren,288.9,81.3,94.7,1.778,0,6,12,1,0,-15
,T28,Stephan Jaeger,292.0,87.5,85.0,1.765,0,4,15,1,0,-14
,T28,Chris Kirk,275.5,81.3,85.0,1.882,0,5,13,2,0,-14
,T28,William McGirt,289.5,100.0,100.0,1.5,0,2,2,0,0,-14
,T28,Brendon Todd,263.0,81.3,84.2,1.813,0,5,14,0,0,-14
,T28,Harris English,0.0,75.0,100.0,2.0,0,0,6,0,0,-14
,T28,Thomas Detry,299.2,81.3,66.7,1.857,0,4,15,2,0,-14
,T28,Nicholas Lindheim,281.5,88.2,85.7,1.778,0,6,13,2,0,-14
,T28,Matt NeSmith,282.8,100.0,85.0,1.824,0,4,14,2,0,-14
,T36,Ricky Barnes,281.5,68.8,65.0,1.769,0,5,15,0,0,-13
,T36,Will Gordon,298.8,62.5,75.0,1.867,0,2,17,1,0,-13
,T38,Chesson Hadley,0.0,100.0,75.0,2.0,0,0,4,0,0,-12
,T38,Brian Gay,268.4,80.0,73.7,1.857,0,2,15,2,0,-12
,T38,Scott Piercy,0.0,75.0,25.0,2.0,0,0,4,0,0,-12
,T38,Matt Atkins,294.7,87.5,80.0,1.813,0,5,12,2,1,-12
,T38,Akshay Bhatia,283.0,68.8,85.0,1.824,0,4,15,1,0,-12
,T38,Cameron Young,280.0,87.5,84.2,1.813,0,6,13,0,0,-12
,T44,J.T. Poston,0.0,50.0,100.0,1.5,0,1,1,0,0,-11
,T44,Brian Harman,271.0,85.7,77.8,1.786,0,4,11,3,0,-11
,T44,Russell Knox,0.0,100.0,100.0,1.667,0,2,4,0,0,-11
,T44,Stewart Cink,0.0,100.0,33.3,2.0,0,0,2,1,0,-11
,T44,Alex Smalley,305.0,33.3,75.0,2.333,0,0,3,1,0,-11
,T44,Corey Conners,282.0,82.4,85.7,2.056,0,2,17,2,0,-11
,T44,Wesley Bryan,283.3,100.0,100.0,1.5,0,1,1,0,0,-11
,T44,Patton Kizzire,0.0,100.0,100.0,1.5,0,1,1,0,0,-11
,T44,Nico Echavarria,283.9,66.7,68.4,1.846,0,5,13,1,0,-11
,T53,Tommy Gainey,0.0,50.0,50.0,2.0,0,0,3,1,0,-10
,T53,Austin Smotherman,283.5,40.0,57.9,1.636,0,5,11,2,1,-10
,T53,Cody Gribble,284.5,68.8,68.4,1.692,0,5,11,3,0,-10
,T53,Matt Kuchar,262.7,100.0,50.0,2.0,0,1,3,0,0,-10
,T53,Davis Thompson,285.7,93.3,89.5,1.647,0,7,12,0,0,-10
