Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Rory McIlroy,321.2,66.1,75.0,1.648,3,24,42,2,0,-25
,2,Collin Morikawa,304.0,73.2,80.6,1.603,2,26,39,4,1,-24
,T3,Keith Mitchell,312.7,64.3,83.3,1.633,1,28,37,4,2,-22
,T3,Rickie Fowler,320.4,80.4,87.5,1.714,0,26,43,2,1,-22
,T5,Talor Gooch,302.7,64.3,79.2,1.632,2,24,39,7,0,-21
,T5,Sam Burns,299.2,60.7,69.4,1.6,0,27,40,4,1,-21
,T5,Aaron Wise,302.6,67.9,83.3,1.667,1,24,42,5,0,-21
,T5,Adam Scott,319.2,58.9,75.0,1.63,2,21,45,4,0,-21
,T9,Sungjae Im,303.8,64.3,80.6,1.724,3,20,44,4,1,-20
,T9,Gary Woodland,314.4,60.7,80.6,1.724,2,24,39,6,1,-20
,T9,Harry Higgs,297.1,64.3,76.4,1.636,0,24,44,4,0,-20
,T9,Cameron Smith,298.2,64.3,80.6,1.672,0,26,40,6,0,-20
,T9,Robert Streb,305.0,80.4,75.0,1.667,1,26,37,8,0,-20
,T14,Webb Simpson,299.0,71.4,68.1,1.592,1,24,40,7,0,-19
,T14,Jhonattan Vegas,320.1,66.1,77.8,1.732,1,23,42,6,0,-19
,T14,Chris Kirk,299.3,71.4,72.2,1.635,2,21,43,6,0,-19
,T14,Abraham Ancer,300.3,71.4,69.4,1.5,3,21,39,9,0,-19
,T18,Emiliano Grillo,297.8,76.8,83.3,1.783,2,17,50,3,0,-18
,T18,Xander Schauffele,322.1,51.8,76.4,1.655,0,24,42,6,0,-18
,T18,Justin Thomas,316.3,67.9,72.2,1.615,1,29,31,10,0,-18
,T18,Viktor Hovland,308.4,69.6,76.4,1.691,0,23,44,5,0,-18
,T18,Jordan Spieth,315.7,62.5,70.8,1.647,1,22,43,6,0,-18
,T18,Ian Poulter,295.2,69.6,76.4,1.709,0,23,44,5,0,-18
,T18,Tyrrell Hatton,312.0,71.4,69.4,1.62,2,21,43,5,1,-18
,T25,K.H. Lee,302.4,67.9,79.2,1.702,1,21,45,4,1,-17
,T25,Sergio Garcia,314.3,50.0,77.8,1.714,1,21,44,6,0,-17
,T25,Carlos Ortiz,312.0,64.3,86.1,1.742,2,20,43,7,0,-17
,T25,Mackenzie Hughes,298.6,71.4,69.4,1.64,1,23,41,6,1,-17
,T25,Paul Casey,296.4,58.9,72.2,1.712,2,20,43,7,0,-17
,T25,Russell Henley,302.5,82.1,86.1,1.758,0,24,41,7,0,-17
,T25,Erik van Rooyen,314.3,69.6,77.8,1.679,0,22,45,5,0,-17
,T32,Tom Hoge,309.2,71.4,72.2,1.712,2,20,42,8,0,-16
,T32,Keegan Bradley,315.3,67.9,79.2,1.667,0,24,41,6,1,-16
,T32,Harold Varner III,308.1,66.1,72.2,1.769,0,22,44,6,0,-16
,T32,Hudson Swafford,298.6,73.2,77.8,1.804,0,22,44,6,0,-16
,T32,S.H. Kim,310.1,67.9,72.2,1.731,1,19,48,3,1,-16
,T32,Sung Kang,296.9,75.0,77.8,1.679,1,21,44,5,1,-16
,T38,Marc Leishman,308.3,55.4,70.8,1.627,1,23,40,6,2,-15
,T38,Scottie Scheffler,303.9,51.8,76.4,1.655,0,25,39,6,2,-15
,T38,Louis Oosthuizen,310.6,78.6,79.2,1.842,1,17,50,4,0,-15
,T38,Matt Jones,306.8,64.3,76.4,1.673,2,18,45,7,0,-15
,T38,Brooks Koepka,321.8,57.1,65.3,1.66,1,24,37,9,1,-15
,T38,Tommy Fleetwood,305.4,53.6,75.0,1.704,0,20,47,5,0,-15
,T38,Maverick McNealy,310.6,55.4,77.8,1.661,2,20,42,7,1,-15
,T45,Tony Finau,311.0,66.1,72.2,1.769,1,19,46,5,1,-14
,T45,Dustin Johnson,314.0,58.9,66.7,1.667,3,18,42,8,1,-14
,T45,Lucas Glover,303.8,76.8,75.0,1.722,0,23,40,9,0,-14
,T45,Joaquín Niemann,312.0,57.1,72.2,1.712,1,20,44,6,1,-14
,T49,Tom Kim,296.6,60.7,70.8,1.667,0,22,41,9,0,-13
,T49,Kevin Streelman,306.9,69.6,79.2,1.772,0,21,43,8,0,-13
,T49,Sebastián Muñoz,297.7,71.4,73.6,1.792,1,19,45,6,1,-13
,T49,Kevin Na,293.6,73.2,68.1,1.673,1,20,44,5,2,-13
,T49,Stewart Cink,301.5,60.7,76.4,1.782,2,15,50,4,1,-13
,T54,Shane Lowry,318.3,41.1,73.6,1.66,0,20,45,6,1,-12
,T54,Jason Kokrak,309.7,69.6,73.6,1.66,1,20,44,5,1,-12
,T54,Kevin Kisner,305.9,78.6,79.2,1.754,1,15,51,5,0,-12
,T57,Justin Rose,308.1,62.5,68.1,1.714,1,20,43,7,0,-11
,T57,Minkyu Kim,288.3,67.9,69.4,1.72,0,20,44,7,1,-11
,T59,Cameron Tringale,312.7,64.3,76.4,1.709,1,18,45,7,0,-10
,T59,Hideki Matsuyama,312.7,60.7,76.4,1.8,0,17,48,7,0,-10
,T59,Alex Noren,309.5,75.0,75.0,1.759,0,17,48,7,0,-10
,T59,Byeong Hun An,322.4,50.0,66.7,1.646,1,21,38,11,1,-10
,63,Rasmus Højgaard,310.4,57.1,79.2,1.754,0,20,42,9,1,-9
,T64,Jason Day,297.8,60.7,72.2,1.635,2,21,37,9,1,-8
,T64,Patton Kizzire,303.5,60.7,70.8,1.784,0,18,44,10,0,-8
,T64,Cam Davis,309.2,58.9,66.7,1.625,1,23,35,9,4,-8
,T64,Sanghun Shin,307.0,69.6,61.1,1.727,0,21,41,8,1,-8
,T68,Branden Grace,292.8,76.8,69.4,1.74,1,18,41,11,1,-7
,T68,Jaekyeong Lee,304.4,69.6,68.1,1.633,0,22,38,10,1,-7
,T68,Charley Hoffman,305.2,69.6,70.8,1.784,0,18,43,11,0,-7
,T68,Patrick Reed,294.6,58.9,69.4,1.7,0,19,43,8,2,-7
,T72,Yoseop Seo,302.6,62.5,68.1,1.837,1,17,42,11,1,-6
,T72,Brian Harman,295.3,67.9,70.8,1.824,0,15,49,7,1,-6
,T72,Max Homa,308.2,48.2,68.1,1.755,0,18,43,10,1,-6
,75,Hanbyeol Kim,303.7,71.4,68.1,1.796,4,10,47,8,3,-4
,76,Si Woo Kim,311.7,67.9,62.5,1.756,0,16,43,10,3,E
,77,Charl Schwartzel,302.8,57.1,56.9,1.829,0,16,34,21,1,+7
