Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Matt Wallace,299.8,73.2,73.6,1.679,0,24,44,3,1,-19
,2,Nicolai Højgaard,324.8,66.1,80.6,1.655,0,24,43,4,1,-18
,T3,Tyler Duncan,289.1,75.0,68.1,1.612,2,20,43,7,0,-17
,T3,Sam Stevens,306.3,67.9,76.4,1.673,2,19,45,6,0,-17
,5,Austin Eckroat,287.8,82.1,63.9,1.587,3,18,43,8,0,-16
,6,Wyndham Clark,311.1,73.2,73.6,1.679,3,16,47,5,1,-15
,7,Ricky Barnes,283.8,66.1,55.6,1.625,1,20,43,8,0,-14
,T8,Brent Grant,305.9,82.1,77.8,1.714,1,23,37,10,1,-13
,T8,Matthias Schwab,286.5,82.1,72.2,1.673,0,21,43,8,0,-13
,T8,Ben Martin,283.9,82.1,73.6,1.755,0,18,49,5,0,-13
,T8,Brice Garnett,279.1,78.6,77.8,1.696,0,17,51,4,0,-13
,T8,Thomas Detry,295.9,67.9,69.4,1.68,0,21,43,8,0,-13
,T13,Nick Hardy,295.5,66.1,73.6,1.679,1,16,49,6,0,-12
,T13,Austin Cook,278.0,82.1,66.7,1.75,0,18,48,6,0,-12
,T13,Harry Hall,291.1,69.6,69.4,1.72,1,15,51,5,0,-12
,T16,Jonathan Byrd,282.0,80.4,72.2,1.75,0,18,49,3,2,-11
,T16,Dylan Wu,293.5,71.4,70.8,1.667,0,18,48,5,1,-11
,T16,Kelly Kraft,274.1,75.0,70.8,1.725,0,18,48,5,1,-11
,T16,Doug Ghim,279.3,78.6,72.2,1.712,0,17,49,6,0,-11
,T16,Kevin Chappell,302.6,76.8,70.8,1.784,1,15,50,6,0,-11
,T16,Vincent Norrman,311.3,73.2,69.4,1.74,1,19,43,8,1,-11
,T22,Henrik Norlander,284.8,75.0,80.6,1.862,0,15,52,5,0,-10
,T22,Martin Trainer,303.1,76.8,75.0,1.667,1,21,39,10,0,-10
,T24,Bill Haas,287.8,67.9,61.1,1.705,1,15,48,8,0,-9
,T24,Akshay Bhatia,292.5,82.1,80.6,1.828,1,15,48,8,0,-9
,T26,Augusto Núñez,300.0,75.0,76.4,1.782,1,13,51,7,0,-8
,T26,Tyson Alexander,293.9,78.6,63.9,1.87,0,15,50,7,0,-8
,T26,Michael Kim,289.5,71.4,68.1,1.755,0,16,48,8,0,-8
,T29,Fabrizio Zanotti,294.1,80.4,68.1,1.776,0,14,52,5,1,-7
,T29,Mark Hubbard,281.3,80.4,72.2,1.769,0,17,46,8,1,-7
,T29,MJ Daffue,292.5,73.2,73.6,1.755,1,16,46,8,0,-7
,T29,Scott Piercy,289.1,67.9,62.5,1.711,1,15,47,8,1,-7
,T29,Erik Compton,285.6,75.0,65.3,1.702,0,18,44,9,1,-7
,T29,Sean O'Hair,287.0,73.2,69.4,1.7,0,19,43,8,2,-7
,T35,Tano Goya,287.6,75.0,58.3,1.667,0,16,46,10,0,-6
,T35,Paul Haley II,269.3,80.4,68.1,1.755,0,15,49,7,1,-6
,T35,Brandon Matthews,314.5,60.7,70.8,1.706,0,18,44,8,2,-6
,T38,D.A. Points,281.0,69.6,62.5,1.689,0,17,45,8,2,-5
,T38,S.Y. Noh,298.6,57.1,58.3,1.738,0,15,49,6,2,-5
,T38,Carson Young,285.5,83.9,75.0,1.815,1,13,48,10,0,-5
,T38,Kevin Tway,306.4,69.6,72.2,1.846,0,15,48,8,1,-5
,T38,Rafael Campos,284.9,73.2,68.1,1.714,1,15,45,10,1,-5
,T38,Chris Stroud,281.0,69.6,69.4,1.8,0,16,45,11,0,-5
,T38,Sung Kang,298.9,64.3,62.5,1.644,1,16,43,11,1,-5
,T38,Harry Higgs,280.5,64.3,73.6,1.83,0,13,53,5,0,-5
,T46,Kramer Hickok,283.1,80.4,69.4,1.78,0,14,48,10,0,-4
,T46,Andrew Novak,291.8,62.5,69.4,1.8,0,14,48,10,0,-4
,T46,Aaron Baddeley,275.8,75.0,65.3,1.851,3,9,49,11,0,-4
,T46,Scott Harrington,302.8,73.2,68.1,1.735,0,17,44,9,2,-4
,T50,Chris Nido,300.8,71.4,72.2,1.827,0,13,49,10,0,-3
,T50,Max McGreevy,282.9,71.4,63.9,1.717,1,15,45,8,3,-3
,T50,Joel Dahmen,293.3,78.6,72.2,1.788,0,14,48,9,1,-3
,T50,Kevin Roy,287.6,73.2,56.9,1.707,0,15,46,10,1,-3
,T50,Cody Gribble,294.5,78.6,68.1,1.633,1,17,41,10,3,-3
,T50,Kyle Westmoreland,309.4,64.3,69.4,1.78,0,17,42,12,1,-3
,T56,Greg Chalmers,288.3,64.3,63.9,1.783,1,11,50,9,1,-2
,T56,Erik van Rooyen,297.8,73.2,65.3,1.745,1,15,41,15,0,-2
,T58,Harrison Endycott,287.5,82.1,72.2,1.788,0,14,46,11,1,-1
,T58,Russell Knox,272.8,80.4,77.8,1.893,0,11,51,10,0,-1
,T58,Ben Crane,277.4,64.3,61.1,1.727,0,15,45,10,2,-1
,T58,Jason Dufner,289.0,69.6,69.4,1.76,0,16,42,13,1,-1
,T62,George McNeill,286.8,57.1,59.7,1.907,0,11,50,11,0,E
,T62,Stephen Stallings Jr.,285.5,62.5,73.6,1.811,0,16,41,14,1,E
,T64,Scott Brown,279.9,71.4,68.1,1.898,0,9,53,10,0,+1
