Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Brooks Koepka,318.9,57.1,61.1,1.636,0,18,45,9,0,-9
,T2,Scottie Scheffler,320.3,57.1,61.1,1.727,0,3,15,0,0,-7
,T2,Viktor Hovland,313.0,52.9,73.9,1.647,0,7,12,4,0,-7
,T4,Cam Davis,308.5,53.9,70.6,1.833,0,3,11,2,1,-3
,T4,Kurt Kitayama,326.6,35.7,66.7,1.75,0,4,11,2,1,-3
,T4,Bryson DeChambeau,347.0,64.7,85.7,1.778,0,6,12,3,0,-3
,T7,Sepp Straka,308.0,63.2,88.0,1.864,0,5,17,3,0,-2
,T7,Rory McIlroy,310.4,14.3,61.1,1.909,0,3,11,4,0,-2
,T9,Cameron Smith,284.7,42.9,55.6,1.8,0,3,10,5,0,-1
,T9,Patrick Cantlay,346.9,53.3,52.6,1.8,0,2,13,3,1,-1
,T9,Justin Rose,275.6,33.3,63.2,1.667,0,8,6,4,1,-1
,T12,Victor Perez,298.3,50.0,70.0,2.0,0,1,17,2,0,E
,T12,Shane Lowry,301.6,53.9,64.7,2.0,0,1,13,3,0,E
,T12,Corey Conners,307.4,41.7,71.9,1.609,0,9,20,3,0,E
,T15,Tyrrell Hatton,311.1,35.7,50.0,1.778,0,2,8,7,1,+1
,T15,Eric Cole,315.4,56.3,66.7,1.643,0,6,12,2,1,+1
,T15,Michael Block,296.0,57.1,50.0,1.556,0,5,9,3,1,+1
,T18,Xander Schauffele,323.1,46.7,65.0,1.769,0,3,13,3,1,+2
,T18,Mito Pereira,329.6,50.0,64.7,1.909,0,1,12,4,0,+2
,T18,Patrick Reed,305.3,35.7,61.1,1.909,0,1,14,3,0,+2
,T18,Tommy Fleetwood,316.9,75.0,75.0,1.8,0,3,13,3,1,+2
,T18,Min Woo Lee,312.3,38.5,52.9,1.778,0,2,11,4,0,+2
,T23,Alex Smalley,306.4,37.5,50.0,2.1,0,0,15,5,0,+3
,T23,Matt NeSmith,306.6,64.3,55.6,1.8,0,3,12,3,0,+3
,T23,Ryan Fox,314.2,50.0,50.0,1.667,0,4,12,2,0,+3
,T26,Collin Morikawa,298.6,50.0,50.0,1.667,0,3,11,4,0,+4
,T26,Hayden Buckley,318.3,50.0,61.1,1.727,0,6,7,5,0,+4
,T26,Justin Suh,312.0,57.1,66.7,2.0,0,2,15,1,0,+4
,T29,Patrick Rodgers,337.8,47.6,74.1,2.0,0,1,24,2,0,+5
,T29,Denny McCarthy,270.8,16.7,52.2,2.0,0,1,17,5,0,+5
,T29,Callum Tarren,325.7,50.0,77.8,1.857,0,3,11,4,0,+5
