Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Chad Ramey,290.0,78.6,66.7,1.583,1,21,44,6,0,-17
,T2,Alex Smalley,304.9,71.4,79.2,1.702,1,23,41,5,2,-16
,T2,Ben Martin,286.1,73.2,73.6,1.585,0,26,37,8,1,-16
,T4,Cameron Percy,291.0,76.8,62.5,1.622,2,19,43,8,0,-15
,T4,Jhonattan Vegas,310.6,67.9,68.1,1.673,2,18,45,7,0,-15
,6,Rasmus Højgaard,304.6,64.3,69.4,1.76,1,16,51,4,0,-14
,T7,Adam Schenk,300.8,76.8,65.3,1.681,1,17,48,6,0,-13
,T7,Brian Stuard,279.9,83.9,65.3,1.723,0,17,51,4,0,-13
,T7,Martin Trainer,298.6,69.6,61.1,1.659,2,15,49,6,0,-13
,T7,David Lipsky,289.6,80.4,68.1,1.592,2,20,39,11,0,-13
,T11,Bryson Nimmer,292.5,64.3,58.3,1.619,0,22,41,8,1,-12
,T11,Andrew Novak,289.4,66.1,62.5,1.667,0,20,44,8,0,-12
,T13,Kramer Hickok,292.9,69.6,62.5,1.689,0,18,47,7,0,-11
,T13,Hayden Buckley,291.6,80.4,69.4,1.72,2,15,48,6,1,-11
,T15,Kevin Chappell,305.6,64.3,61.1,1.568,0,22,39,10,1,-10
,T15,Rick Lamb,299.3,80.4,66.7,1.729,1,15,51,4,0,-10
,T15,Wesley Bryan,295.0,64.3,65.3,1.702,0,16,50,6,0,-10
,T15,Ryan Armour,296.8,75.0,72.2,1.75,0,16,51,4,1,-10
,T15,Justin Lower,289.6,60.7,70.8,1.706,0,17,49,5,1,-10
,T15,Thomas Detry,303.9,60.7,65.3,1.787,0,17,48,7,0,-10
,T15,Nate Lashley,295.6,78.6,65.3,1.723,0,17,49,5,1,-10
,T22,Chase Seiffert,289.1,82.1,66.7,1.667,0,18,45,9,0,-9
,T22,Sahith Theegala,302.1,69.6,62.5,1.689,0,20,41,11,0,-9
,T22,Wyndham Clark,317.0,67.9,62.5,1.822,2,14,48,7,1,-9
,T25,Greyson Sigg,287.8,76.8,61.1,1.659,0,18,45,8,1,-8
,T25,Nick Taylor,294.3,71.4,73.6,1.717,1,17,43,11,0,-8
,T25,Vaughn Taylor,281.8,80.4,69.4,1.7,0,17,47,7,1,-8
,T28,Brandon Wu,290.5,71.4,66.7,1.75,0,16,48,7,1,-7
,T28,Tyler Duncan,294.0,83.9,58.3,1.762,0,15,49,8,0,-7
,T28,Greg Chalmers,292.4,53.6,56.9,1.683,0,15,49,8,0,-7
,T28,Jason Dufner,298.6,69.6,59.7,1.605,0,18,43,11,0,-7
,T28,Scott Brown,296.0,73.2,66.7,1.667,1,17,44,8,2,-7
,T28,Rafael Campos,302.0,83.9,70.8,1.843,0,10,59,3,0,-7
,T28,Ben Kohles,288.0,75.0,68.1,1.755,1,14,48,9,0,-7
,T28,Vince Whaley,304.3,64.3,66.7,1.813,0,13,53,6,0,-7
,T36,Peter Uihlein,303.5,69.6,65.3,1.681,1,17,43,9,2,-6
,T36,Danny Willett,305.3,80.4,70.8,1.765,0,16,47,8,1,-6
,T36,Robert Garrigus,300.9,71.4,65.3,1.723,1,14,48,8,1,-6
,T36,S.Y. Noh,302.0,64.3,70.8,1.765,0,15,49,7,1,-6
,T36,Hudson Swafford,309.0,76.8,68.1,1.735,1,16,46,7,1,-6
,T36,Michael Gligic,297.1,57.1,55.6,1.725,0,15,48,9,0,-6
,T36,Hank Lebioda,287.5,78.6,75.0,1.815,0,14,50,8,0,-6
,T36,Jonathan Byrd,290.5,78.6,63.9,1.717,0,14,50,8,0,-6
,T44,Kiradech Aphibarnrat,292.6,67.9,58.3,1.643,1,16,43,11,1,-5
,T44,Curtis Thompson,317.5,58.9,59.7,1.674,0,18,43,9,2,-5
,T44,Bill Haas,290.9,64.3,62.5,1.778,0,13,51,8,0,-5
,T44,Matthias Schwab,292.5,71.4,69.4,1.74,1,17,42,10,2,-5
,T44,Brandon Hagy,320.5,55.4,62.5,1.844,0,14,49,9,0,-5
,T44,David Lingmerth,289.5,82.1,68.1,1.755,1,15,47,7,1,-5
,T50,D.J. Trahan,297.4,55.4,68.1,1.755,0,15,46,11,0,-4
,T50,Trey Mullinax,317.5,75.0,58.3,1.881,1,12,49,10,0,-4
,T50,Sean O'Hair,301.6,82.1,58.3,1.738,0,15,46,11,0,-4
,T50,Graeme McDowell,290.4,75.0,61.1,1.659,0,16,45,10,1,-4
,T54,Patrick Flavin,293.6,66.1,52.8,1.763,0,13,49,10,0,-3
,T54,Bo Hoag,300.3,78.6,72.2,1.808,1,12,49,9,1,-3
,56,Dylan Wu,290.0,71.4,66.7,1.833,0,12,51,8,1,-2
,57,Scott Gutschewski,292.5,76.8,58.3,1.762,0,11,53,7,0,-1
,T58,Jim Knous,302.3,69.6,59.7,1.744,1,16,38,16,1,E
,T58,Austin Cook,286.5,80.4,50.0,1.694,0,12,48,12,0,E
,T58,Brice Garnett,295.0,69.6,63.9,1.804,0,14,46,10,2,E
,T58,Camilo Villegas,297.3,62.5,66.7,1.75,0,15,43,13,1,E
,T62,D.A. Points,289.9,64.3,51.4,1.676,1,14,41,15,1,+1
,T62,John Huh,293.1,85.7,54.2,1.692,0,16,41,14,0,+1
,T62,Seth Reeves,299.6,69.6,54.2,1.667,0,17,40,13,1,+1
,65,Kevin Stadler,290.3,60.7,59.7,1.837,0,15,39,16,2,+5
