Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Scottie Scheffler,302.4,80.4,76.4,1.691,1,20,49,1,1,-19
,2,Sahith Theegala,324.4,53.6,76.4,1.691,0,21,46,5,0,-16
,T3,Wyndham Clark,326.8,71.4,73.6,1.623,2,19,45,4,2,-15
,T3,Patrick Cantlay,308.3,51.8,58.3,1.595,1,18,48,5,0,-15
,T5,Justin Thomas,318.1,58.9,65.3,1.596,1,19,47,3,2,-14
,T5,J.T. Poston,290.0,69.6,56.9,1.561,0,21,45,5,1,-14
,T5,Patrick Rodgers,304.0,64.3,68.1,1.571,1,21,42,7,1,-14
,T5,Sepp Straka,294.1,82.1,73.6,1.66,0,22,43,6,1,-14
,9,Collin Morikawa,296.0,83.9,61.1,1.614,0,20,45,7,0,-13
,T10,Chris Kirk,299.8,58.9,72.2,1.654,1,21,40,9,1,-12
,T10,Ludvig Åberg,308.3,69.6,68.1,1.694,1,17,48,5,1,-12
,T12,Brian Harman,296.9,73.2,68.1,1.673,0,20,45,5,2,-11
,T12,Tony Finau,316.9,62.5,77.8,1.75,0,18,49,3,2,-11
,T12,Sungjae Im,301.9,66.1,61.1,1.705,0,18,48,5,1,-11
,T12,Russell Henley,292.9,76.8,65.3,1.702,0,15,53,4,0,-11
,T12,Séamus Power,295.9,69.6,66.7,1.708,0,19,45,8,0,-11
,17,Austin Eckroat,301.6,78.6,65.3,1.681,0,18,46,8,0,-10
,T18,Jason Day,315.4,73.2,63.9,1.674,0,18,46,7,1,-9
,T18,Rickie Fowler,298.1,67.9,68.1,1.755,0,16,50,5,1,-9
,T18,Andrew Putnam,300.4,71.4,68.1,1.694,0,16,49,7,0,-9
,T18,Akshay Bhatia,292.4,57.1,61.1,1.591,1,19,41,10,1,-9
,T18,Si Woo Kim,301.0,75.0,66.7,1.75,1,14,50,7,0,-9
,T18,Tom Kim,290.4,67.9,66.7,1.604,0,19,43,10,0,-9
,T18,Brice Garnett,290.0,66.1,66.7,1.708,0,19,44,8,1,-9
,T18,Xander Schauffele,308.5,62.5,58.3,1.69,2,12,52,5,1,-9
,T18,Stephan Jaeger,304.8,53.6,62.5,1.733,0,16,49,7,0,-9
,T18,Tom Hoge,292.6,67.9,58.3,1.619,0,19,47,5,0,-9
,T28,Christiaan Bezuidenhout,297.9,67.9,66.7,1.667,1,14,50,6,1,-8
,T28,Harris English,308.4,71.4,62.5,1.644,1,16,46,8,1,-8
,T28,Matt Fitzpatrick,297.5,75.0,68.1,1.694,0,19,44,7,2,-8
,T28,Denny McCarthy,294.3,71.4,59.7,1.698,0,18,46,7,0,-8
,T28,Thomas Detry,303.3,64.3,58.3,1.643,0,18,44,10,0,-8
,T33,Erik van Rooyen,297.8,58.9,63.9,1.587,0,19,43,8,2,-7
,T33,Kurt Kitayama,304.6,66.1,65.3,1.702,1,12,53,5,1,-7
,T33,Lucas Glover,299.3,75.0,66.7,1.646,0,18,45,7,2,-7
,T33,Eric Cole,305.6,66.1,55.6,1.575,1,16,46,7,2,-7
,T33,Alejandro Tosti,316.3,55.4,61.1,1.659,1,17,43,10,1,-7
,T33,Rory McIlroy,322.1,66.1,63.9,1.717,1,13,52,4,2,-7
,T39,Grayson Murray,308.3,60.7,58.3,1.667,0,15,50,5,2,-6
,T39,Mackenzie Hughes,308.6,62.5,56.9,1.683,0,15,49,7,1,-6
,T39,Jordan Spieth,315.3,64.3,66.7,1.646,0,19,42,9,2,-6
,T42,Webb Simpson,298.3,66.1,55.6,1.575,2,17,39,12,2,-5
,T42,Adam Hadwin,299.1,66.1,62.5,1.756,1,14,46,11,0,-5
,T44,Sam Burns,301.3,66.1,63.9,1.696,0,15,47,9,1,-4
,T44,Justin Rose,292.6,75.0,58.3,1.69,0,13,51,7,1,-4
,T44,Adam Svensson,299.8,55.4,56.9,1.585,0,19,39,13,1,-4
,T44,Corey Conners,312.9,53.6,66.7,1.729,0,15,47,9,1,-4
