Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Kurt Kitayama,300.7,69.6,70.8,1.725,0,19,46,5,1,-9
,T2,Rory McIlroy,324.4,53.6,59.7,1.721,0,18,45,8,1,-8
,T2,Harris English,294.5,69.6,63.9,1.826,0,12,56,4,0,-8
,T4,Patrick Cantlay,302.9,64.3,66.7,1.729,2,15,43,12,0,-7
,T4,Jordan Spieth,301.2,51.8,52.8,1.737,0,19,41,12,0,-7
,T4,Tyrrell Hatton,312.2,67.9,66.7,1.75,0,19,42,10,1,-7
,T4,Scottie Scheffler,310.3,48.2,63.9,1.674,0,19,42,10,1,-7
,T8,Davis Riley,303.6,67.9,56.9,1.634,2,16,42,10,2,-6
,T8,Trey Mullinax,311.3,57.1,62.5,1.778,0,18,42,12,0,-6
,T10,Keegan Bradley,290.3,64.3,62.5,1.578,1,19,37,14,1,-5
,T10,Jason Day,300.2,55.4,65.3,1.787,0,15,48,8,1,-5
,T10,Cameron Young,325.8,50.0,66.7,1.729,1,15,45,10,1,-5
,T10,Viktor Hovland,304.6,64.3,62.5,1.711,2,12,48,9,1,-5
,T14,Ryan Fox,304.0,46.4,65.3,1.681,0,17,43,11,1,-4
,T14,Matt Fitzpatrick,306.1,46.4,58.3,1.714,1,14,46,10,1,-4
,T14,Francesco Molinari,286.2,67.9,62.5,1.689,1,18,37,16,0,-4
,T14,Sahith Theegala,311.4,55.4,66.7,1.708,0,17,42,13,0,-4
,T14,Ben Griffin,313.4,50.0,52.8,1.737,0,13,50,9,0,-4
,T14,Max Homa,290.6,64.3,70.8,1.784,1,12,49,10,0,-4
,T14,Pierceson Coody,304.4,51.8,54.2,1.667,0,17,43,11,1,-4
,T21,Sungjae Im,282.0,62.5,56.9,1.683,0,18,41,11,2,-3
,T21,Corey Conners,293.0,58.9,55.6,1.65,0,20,36,15,1,-3
,T21,Justin Thomas,308.5,58.9,68.1,1.735,0,16,44,11,1,-3
,T24,Webb Simpson,297.7,51.8,54.2,1.487,0,23,31,15,3,-2
,T24,Justin Suh,292.2,46.4,65.3,1.681,0,18,39,14,1,-2
,T24,Adam Svensson,281.9,60.7,61.1,1.727,0,15,45,11,1,-2
,T24,Keith Mitchell,307.7,62.5,61.1,1.636,2,13,43,13,1,-2
,T24,Thomas Detry,303.5,60.7,52.8,1.789,0,14,47,10,1,-2
,T24,Tony Finau,301.0,51.8,66.7,1.833,0,13,48,11,0,-2
,T24,Ludvig Åberg,308.1,48.2,56.9,1.756,1,13,45,13,0,-2
,T31,Adam Schenk,294.9,41.1,61.1,1.818,0,13,48,10,1,-1
,T31,Adam Scott,301.1,57.1,68.1,1.837,1,12,47,11,1,-1
,T31,Rickie Fowler,300.8,41.1,51.4,1.649,0,16,42,13,1,-1
,T34,Wyndham Clark,308.7,44.6,65.3,1.723,0,15,46,8,2,E
,T34,Tom Kim,293.5,67.9,59.7,1.744,0,11,51,9,1,E
,T34,Andrew Putnam,268.5,51.8,65.3,1.702,0,17,39,15,1,E
,T34,Aaron Baddeley,278.1,58.9,55.6,1.775,1,11,49,9,2,E
,T34,Danny Willett,294.3,46.4,58.3,1.81,0,15,44,11,2,E
,T39,Brendon Todd,264.6,57.1,63.9,1.848,0,10,54,5,3,+1
,T39,S.H. Kim,292.3,51.8,55.6,1.8,0,12,48,11,1,+1
,T39,Si Woo Kim,293.4,55.4,66.7,1.729,0,15,47,6,3,+1
,T39,Robby Shelton,302.3,42.9,48.6,1.714,0,13,46,12,1,+1
,T39,Matt NeSmith,290.8,62.5,52.8,1.895,0,9,54,8,1,+1
,T39,Emiliano Grillo,296.0,69.6,69.4,1.88,0,13,45,14,0,+1
,T39,Luke Donald,276.0,57.1,62.5,1.733,0,15,42,14,1,+1
,T39,Jon Rahm,299.4,42.9,56.9,1.634,2,15,36,18,1,+1
,T39,Chris Kirk,293.0,64.3,56.9,1.561,1,18,37,12,3,+1
,T39,Taylor Moore,301.5,53.6,51.4,1.784,0,10,51,11,0,+1
,T39,Martin Laird,287.9,53.6,66.7,1.896,0,13,45,14,0,+1
,T39,Taylor Montgomery,304.4,48.2,55.6,1.775,0,14,43,15,0,+1
,T39,Kyle Westmoreland,312.9,41.1,56.9,1.805,0,14,43,15,0,+1
,T39,Xander Schauffele,288.1,50.0,51.4,1.73,0,13,47,10,2,+1
,T53,Davis Thompson,311.6,48.2,56.9,1.854,0,11,50,9,2,+2
,T53,K.H. Lee,281.9,57.1,63.9,1.935,0,7,56,9,0,+2
,T53,Aaron Rai,280.0,55.4,68.1,1.857,0,11,49,11,1,+2
,T53,Will Zalatoris,308.4,66.1,62.5,1.778,0,15,41,15,1,+2
,T53,Ryan Palmer,296.6,53.6,63.9,1.87,1,12,44,14,1,+2
,T53,Russell Henley,285.3,60.7,55.6,1.85,0,12,48,10,2,+2
,T53,Padraig Harrington,295.5,51.8,62.5,1.822,0,13,46,11,2,+2
,T53,Ben Taylor,298.6,53.6,54.2,1.692,0,15,41,15,1,+2
,T61,Greyson Sigg,284.8,58.9,55.6,1.9,0,7,56,8,1,+3
,T61,Mackenzie Hughes,296.3,55.4,55.6,1.875,0,11,48,12,1,+3
,T61,Tommy Fleetwood,290.7,48.2,52.8,1.763,0,14,43,14,0,+3
,T61,Alex Noren,296.5,57.1,58.3,1.762,0,14,44,11,3,+3
,T65,Cole Hammer,288.0,46.4,47.2,1.853,0,12,46,12,2,+4
,T65,David Lipsky,285.1,64.3,66.7,1.833,0,14,43,12,3,+4
,67,Shane Lowry,301.7,57.1,56.9,1.78,1,10,49,9,1,+5
,T68,Greg Koch,289.1,46.4,51.4,1.892,0,11,43,17,1,+8
