Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Xander Schauffele,310.4,48.1,70.8,1.686,1,17,42,12,0,-7
,2,Kurt Kitayama,311.6,42.3,62.5,1.733,1,19,40,10,1,-6
,3,Tom Kim,303.7,61.5,70.8,1.843,1,10,54,7,0,-5
,T4,Tommy Fleetwood,291.2,53.9,66.7,1.813,0,12,52,8,0,-4
,T4,Patrick Cantlay,296.4,46.2,69.4,1.82,0,14,48,10,0,-4
,T6,Jamie Donaldson,299.3,50.0,59.7,1.651,0,16,43,13,0,-3
,T6,Brandon Wu,301.9,48.1,72.2,1.865,0,14,47,11,0,-3
,T6,Matt Fitzpatrick,304.1,48.1,61.1,1.795,1,14,45,11,1,-3
,T6,Cameron Tringale,302.9,48.1,59.7,1.674,1,16,40,15,0,-3
,T10,Cameron Smith,295.6,61.5,58.3,1.738,0,14,46,12,0,-2
,T10,Dean Burmester,310.8,53.9,68.1,1.776,1,14,45,10,2,-2
,T10,Thomas Detry,322.8,48.1,65.3,1.83,2,10,49,10,1,-2
,T10,Rasmus Højgaard,307.2,44.2,69.4,1.84,0,18,38,16,0,-2
,T10,Alex Smalley,310.2,51.9,75.0,1.833,0,15,46,9,2,-2
,T10,Jordan Spieth,316.3,53.9,59.7,1.651,2,14,41,14,1,-2
,T16,Jason Scrivener,286.6,42.3,58.3,1.667,0,15,43,14,0,-1
,T16,Christiaan Bezuidenhout,295.0,63.5,55.6,1.725,0,13,47,12,0,-1
,T16,Maverick McNealy,309.9,46.2,63.9,1.739,1,14,44,11,2,-1
,T16,Wyndham Clark,304.2,34.6,68.1,1.857,0,12,49,11,0,-1
,T16,Doug Ghim,303.2,48.1,65.3,1.745,0,14,46,11,1,-1
,T16,Max Homa,307.2,57.7,66.7,1.833,1,9,53,8,1,-1
,T16,Joaquín Niemann,297.1,51.9,68.1,1.837,0,14,45,13,0,-1
,T16,Ryan Palmer,303.4,46.2,63.9,1.848,0,11,51,10,0,-1
,T24,Sami Välimäki,311.1,61.5,68.1,1.714,0,15,44,11,2,E
,T24,Stewart Cink,298.6,57.7,66.7,1.75,0,13,46,13,0,E
,T24,Thriston Lawrence,311.5,53.9,73.6,1.811,1,10,49,12,0,E
,T24,Tyrrell Hatton,304.5,44.2,72.2,1.827,0,14,46,10,2,E
,T24,Branden Grace,297.5,55.8,61.1,1.886,0,11,51,9,1,E
,T24,Jordan Smith,302.9,48.1,68.1,1.857,1,13,43,15,0,E
,T30,Troy Merritt,292.2,50.0,63.9,1.761,0,16,39,17,0,+1
,T30,Thorbjørn Olesen,305.7,67.3,56.9,1.805,0,10,51,11,0,+1
,T30,Alex Noren,291.2,38.5,65.3,1.872,0,9,53,10,0,+1
,T30,Mikko Korhonen,290.7,63.5,65.3,1.745,0,14,45,11,2,+1
,T30,Maximilian Kieffer,303.8,50.0,61.1,1.886,0,11,50,10,1,+1
,T30,Gary Woodland,296.7,50.0,61.1,1.818,1,12,44,15,0,+1
,T36,Keith Mitchell,318.0,48.1,54.2,1.718,1,13,43,13,2,+2
,T36,Matthieu Pavon,304.1,38.5,52.8,1.816,0,13,44,15,0,+2
,T36,James Morrison,285.9,53.9,63.9,1.87,0,11,48,13,0,+2
,T36,Fabrizio Zanotti,299.8,63.5,62.5,1.822,0,13,45,13,1,+2
,T36,Jhonattan Vegas,292.4,44.2,62.5,1.889,1,8,51,12,0,+2
,T36,Rafa Cabrera Bello,292.6,57.7,56.9,1.78,1,12,44,14,1,+2
,T42,Harris English,290.6,55.8,51.4,1.757,0,13,43,16,0,+3
,T42,Connor Syme,304.6,51.9,68.1,1.898,1,10,48,11,2,+3
,T42,Russell Knox,289.5,48.1,69.4,1.9,0,10,49,13,0,+3
,T42,Adrian Otaegui,290.3,55.8,63.9,1.957,0,12,45,15,0,+3
,T42,Alexander Björk,286.1,53.9,59.7,1.767,0,13,44,14,1,+3
,T47,Sebastian Söderberg,310.7,48.1,65.3,1.936,0,14,42,14,2,+4
,T47,David Law,312.4,55.8,65.3,1.851,0,12,44,16,0,+4
,T47,Ryan Fox,309.9,25.0,61.1,1.886,0,12,45,14,1,+4
,T47,Rikard Karlberg,287.3,48.1,56.9,1.902,0,11,47,13,1,+4
,T47,Dylan Frittelli,306.6,48.1,61.1,1.932,0,13,43,15,1,+4
,T47,Adri Arnaus,320.1,46.2,62.5,1.867,1,11,44,15,1,+4
,T47,Matt Kuchar,290.7,50.0,61.1,1.841,0,11,49,9,3,+4
,T47,Rickie Fowler,312.5,48.1,54.2,1.795,1,12,43,14,2,+4
,T55,Jon Rahm,314.8,55.8,62.5,1.8,1,14,38,17,2,+5
,T55,Nick Taylor,300.5,44.2,62.5,1.844,0,11,47,12,2,+5
,T55,Haotong Li,288.0,30.8,68.1,1.837,0,12,46,11,3,+5
,T55,Ashun Wu,305.0,48.1,65.3,1.872,0,10,48,13,1,+5
