Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Aaron Rai,287.0,76.8,81.9,1.729,2,18,48,4,0,-18
,2,Max Greyserman,327.2,64.3,81.9,1.763,3,18,47,2,1,-16
,T3,J.J. Spaun,307.1,73.2,84.7,1.77,2,13,55,2,0,-15
,T3,Ryo Hisatsune,298.4,76.8,77.8,1.643,1,20,44,7,0,-15
,5,Luke Clanton (a),308.2,73.2,80.6,1.69,2,21,38,11,0,-14
,6,Austin Eckroat,314.2,80.4,76.4,1.727,1,18,46,7,0,-13
,T7,Eric Cole,304.0,60.7,75.0,1.685,1,19,43,9,0,-12
,T7,Trace Crowe,299.6,80.4,79.2,1.754,0,19,46,7,0,-12
,T7,Billy Horschel,301.5,71.4,83.3,1.733,1,16,49,6,0,-12
,T7,Adam Svensson,300.5,66.1,75.0,1.667,2,18,43,8,1,-12
,T7,Ben Griffin,288.2,67.9,77.8,1.732,1,21,40,9,1,-12
,T12,Brendon Todd,285.1,78.6,76.4,1.8,0,18,48,5,1,-11
,T12,Chan Kim,311.7,71.4,75.0,1.796,1,18,44,9,0,-11
,T12,Mac Meissner,305.0,80.4,75.0,1.759,2,17,44,8,1,-11
,T12,Charley Hoffman,310.7,75.0,75.0,1.741,1,20,42,7,2,-11
,T12,Keith Mitchell,319.9,73.2,73.6,1.811,0,17,49,6,0,-11
,T12,Beau Hossler,314.1,69.6,79.2,1.702,1,18,44,9,0,-11
,T12,Roger Sloan,293.8,67.9,69.4,1.66,0,18,48,5,1,-11
,T12,Jacob Bridgeman,310.3,69.6,79.2,1.772,1,19,42,10,0,-11
,T12,Davis Thompson,314.8,75.0,72.2,1.827,0,16,51,5,0,-11
,T12,Matt Kuchar,295.9,78.6,79.2,1.719,0,19,46,6,1,-11
,T22,Chris Gotterup,328.8,58.9,75.0,1.722,1,17,45,9,0,-10
,T22,Nico Echavarria,300.6,60.7,76.4,1.782,0,18,46,8,0,-10
,T22,Rico Hoey,314.8,58.9,80.6,1.828,0,15,52,5,0,-10
,T22,Keegan Bradley,313.8,75.0,81.9,1.831,0,14,54,4,0,-10
,T22,Christiaan Bezuidenhout,291.6,66.1,75.0,1.759,1,16,47,8,0,-10
,T22,Cameron Young,326.5,71.4,80.6,1.793,2,16,46,6,2,-10
,T28,Mackenzie Hughes,306.9,53.6,63.9,1.804,0,17,47,8,0,-9
,T28,Séamus Power,312.5,66.1,77.8,1.75,0,18,46,7,1,-9
,T28,Matt Wallace,314.2,78.6,76.4,1.782,0,16,50,5,1,-9
,T28,Gary Woodland,314.6,75.0,70.8,1.765,2,14,47,9,0,-9
,T28,Adam Hadwin,302.2,66.1,75.0,1.759,0,20,41,11,0,-9
,T33,Denny McCarthy,289.3,64.3,75.0,1.815,0,17,46,9,0,-8
,T33,Victor Perez,315.5,67.9,79.2,1.737,0,19,45,5,3,-8
,T33,Zach Johnson,294.8,73.2,75.0,1.796,0,17,46,9,0,-8
,T33,Justin Lower,292.0,64.3,77.8,1.732,1,18,42,10,1,-8
,T33,Patrick Rodgers,313.4,69.6,76.4,1.855,0,15,51,5,1,-8
,T38,Chandler Phillips,296.2,78.6,69.4,1.74,1,19,40,10,2,-7
,T38,Nick Hardy,317.6,69.6,80.6,1.776,0,17,46,8,1,-7
,T38,Davis Riley,309.4,53.6,66.7,1.729,0,18,43,11,0,-7
,T41,Brice Garnett,289.5,66.1,76.4,1.818,1,16,43,12,0,-6
,T41,K.H. Lee,305.9,66.1,75.0,1.778,1,16,43,12,0,-6
,T41,Sungjae Im,303.6,71.4,70.8,1.784,0,19,42,9,2,-6
,T41,Doug Ghim,306.3,69.6,76.4,1.836,0,17,46,7,2,-6
,T45,Ryan Moore,286.9,73.2,79.2,1.754,0,20,40,9,3,-5
,T45,Zac Blair,285.0,69.6,72.2,1.75,1,16,44,9,2,-5
,T45,Brian Harman,289.9,67.9,62.5,1.733,0,18,42,11,1,-5
,T45,Cameron Champ,327.2,75.0,72.2,1.788,1,16,43,11,1,-5
,T45,Daniel Berger,299.6,76.8,69.4,1.72,0,17,44,10,1,-5
,T45,Maverick McNealy,303.7,69.6,72.2,1.731,1,17,43,10,0,-5
,T45,Martin Trainer,309.1,53.6,59.7,1.814,0,18,41,13,0,-5
,T52,Jorge Campillo,302.4,55.4,70.8,1.725,2,18,39,10,1,-4
,T52,Andrew Novak,301.9,64.3,80.6,1.845,0,13,50,9,0,-4
,T52,Kevin Tway,312.9,71.4,70.8,1.843,4,9,46,13,0,-4
,T52,Taylor Moore,315.2,58.9,66.7,1.771,0,17,42,13,0,-4
,T52,Ben Taylor,302.2,66.1,72.2,1.692,1,18,37,16,0,-4
,T52,Justin Suh,304.0,75.0,70.8,1.725,0,18,43,9,1,-4
,T52,Chad Ramey,298.3,62.5,65.3,1.809,0,16,44,12,0,-4
,T59,Emiliano Grillo,295.6,73.2,73.6,1.792,1,13,48,9,0,-3
,T59,Nate Lashley,298.6,60.7,75.0,1.852,1,12,51,6,1,-3
,T61,Jhonattan Vegas,318.3,60.7,69.4,1.8,0,19,37,15,1,-2
,T61,Pierceson Coody,312.2,55.4,75.0,1.796,0,15,46,9,2,-2
,63,Vince Whaley,305.7,53.6,68.1,1.796,0,14,47,9,2,-1
,T64,Matti Schmid,310.1,69.6,77.8,1.929,0,10,54,6,2,E
,T64,Joel Dahmen,295.7,66.1,70.8,1.843,0,15,42,15,0,E
,66,S.H. Kim,311.2,57.1,52.8,1.711,1,16,34,18,3,+6
