Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Jason Kokrak,302.1,61.5,75.0,1.593,0,24,37,9,1,-10
,T2,Kevin Tway,305.1,61.5,66.7,1.667,2,13,48,9,0,-8
,T2,Scottie Scheffler,304.8,57.7,62.5,1.622,0,21,39,11,1,-8
,4,Kramer Hickok,286.4,59.6,62.5,1.689,0,16,47,9,0,-7
,T5,Joel Dahmen,295.0,82.7,68.1,1.755,0,15,48,9,0,-6
,T5,Martin Trainer,303.2,46.2,72.2,1.712,0,17,45,9,1,-6
,T7,Robert Streb,291.6,76.9,56.9,1.78,0,11,55,6,0,-5
,T7,Sam Burns,298.8,59.6,65.3,1.723,0,13,52,6,1,-5
,T7,Cameron Tringale,290.9,57.7,69.4,1.82,0,12,54,5,1,-5
,T7,Russell Henley,287.2,67.3,63.9,1.717,0,16,45,11,0,-5
,T11,Denny McCarthy,286.3,69.2,65.3,1.787,0,12,52,8,0,-4
,T11,Adam Long,287.9,69.2,69.4,1.8,0,12,54,4,2,-4
,T11,Luke List,312.7,61.5,65.3,1.787,1,14,46,10,1,-4
,T11,Matthew Wolff,318.8,50.0,61.1,1.659,2,15,41,13,1,-4
,T15,Alex Smalley,306.9,55.8,69.4,1.76,0,14,48,9,1,-3
,T15,Cameron Smith,295.5,51.9,62.5,1.622,0,17,44,8,3,-3
,T15,Hank Lebioda,294.8,59.6,63.9,1.761,0,14,47,11,0,-3
,T15,Vince Whaley,296.9,57.7,73.6,1.736,0,14,47,11,0,-3
,T19,Sungjae Im,297.6,65.4,65.3,1.851,0,11,52,9,0,-2
,T19,Scott Piercy,292.4,46.2,65.3,1.809,0,14,46,12,0,-2
,T19,Aaron Rai,289.6,73.1,65.3,1.809,1,11,50,9,1,-2
,T19,Maverick McNealy,296.5,51.9,66.7,1.729,0,13,48,11,0,-2
,T19,Dylan Frittelli,305.6,63.5,76.4,1.818,0,14,47,10,1,-2
,T19,Max McGreevy,281.4,65.4,62.5,1.8,0,12,50,10,0,-2
,T19,Marc Leishman,300.1,61.5,63.9,1.783,0,14,47,10,1,-2
,T26,Aaron Wise,294.4,65.4,70.8,1.824,1,11,50,8,2,-1
,T26,Ryan Palmer,294.6,51.9,73.6,1.811,0,12,50,9,1,-1
,T26,Jhonattan Vegas,314.1,63.5,77.8,1.839,0,12,49,11,0,-1
,T29,Tyler Duncan,293.2,80.8,68.1,1.776,0,12,48,12,0,E
,T29,Mito Pereira,295.9,65.4,61.1,1.75,0,12,48,12,0,E
,T29,Davis Riley,304.2,65.4,68.1,1.755,0,14,45,12,1,E
,T29,Mackenzie Hughes,291.4,63.5,72.2,1.885,0,11,52,8,0,E
,T29,Kelly Kraft,275.5,65.4,61.1,1.75,0,11,50,11,0,E
,T29,Adam Schenk,293.9,57.7,66.7,1.813,0,10,52,10,0,E
,T35,Bronson Burgoon,290.1,53.9,65.3,1.872,0,9,53,10,0,+1
,T35,Stephan Jaeger,280.7,55.8,58.3,1.81,1,12,45,13,1,+1
,T35,Max Homa,294.0,55.8,61.1,1.727,0,14,43,15,0,+1
,T35,Chris Stroud,285.6,51.9,69.4,1.78,0,14,43,15,0,+1
,T35,Hudson Swafford,304.5,61.5,68.1,1.796,0,13,47,11,0,+1
,T35,Matthias Schwab,284.2,69.2,61.1,1.727,0,12,47,13,0,+1
,T41,Nick Taylor,290.5,51.9,62.5,1.867,0,7,56,9,0,+2
,T41,Andrew Putnam,275.6,65.4,59.7,1.698,0,16,40,14,2,+2
,T41,Chez Reavie,272.7,69.2,61.1,1.841,0,10,50,12,0,+2
,T41,Keith Mitchell,300.5,55.8,63.9,1.891,0,10,52,8,2,+2
,T41,Wyndham Clark,299.9,42.3,62.5,1.756,1,10,49,10,2,+2
,T46,J.J. Spaun,294.5,46.2,56.9,1.756,0,12,46,13,1,+3
,T46,Matt NeSmith,293.3,61.5,62.5,1.844,0,11,49,10,2,+3
,T46,Tom Hoge,287.1,59.6,66.7,1.833,0,10,49,13,0,+3
,T46,Lee Hodges,290.5,71.2,54.2,1.872,0,9,52,10,1,+3
,T50,Brice Garnett,284.2,61.5,61.1,1.818,0,11,47,13,1,+4
,T50,Harry Higgs,287.4,46.2,55.6,1.8,0,10,49,12,1,+4
,T50,Kevin Streelman,289.6,57.7,61.1,1.841,0,11,48,11,2,+4
,T50,Richy Werenski,282.2,46.2,59.7,1.767,0,12,45,14,1,+4
,T54,Jason Day,296.2,48.1,61.1,1.75,0,15,39,16,2,+5
,T54,Jim Herman,281.6,71.2,65.3,1.872,0,10,47,15,0,+5
,T54,Erik van Rooyen,290.8,57.7,65.3,1.787,0,11,47,12,2,+5
,T54,Brian Harman,282.8,71.2,59.7,1.884,0,6,57,7,2,+5
,T54,Adam Scott,303.3,51.9,56.9,1.829,0,11,46,14,1,+5
,T54,Zach Johnson,270.2,55.8,56.9,1.854,0,8,51,13,0,+5
,60,Talor Gooch,300.7,61.5,58.3,1.786,0,10,48,12,2,+6
,T61,Scott Stallings,289.9,46.2,58.3,1.857,0,6,54,11,1,+7
,T61,Sahith Theegala,287.7,48.1,65.3,1.766,0,11,45,14,2,+7
,T61,Patrick Reed,287.5,67.3,51.4,1.703,1,10,44,15,2,+7
,T64,Lanto Griffin,286.8,57.7,65.3,1.872,0,9,48,13,2,+8
,T64,MJ Daffue,302.0,55.8,65.3,1.851,0,13,42,14,2,+8
,66,Brian Stuard,260.3,73.1,54.2,1.897,0,7,51,12,2,+9
,67,Henrik Norlander,288.1,55.8,61.1,1.886,0,8,49,12,3,+10
