Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Lucas Glover,300.9,64.9,64.4,1.723,1,16,53,3,0,-15
,2,Patrick Cantlay,310.4,63.2,69.9,1.725,0,20,47,6,0,-15
,T3,Rory McIlroy,324.1,64.3,72.2,1.615,1,20,43,8,0,-14
,T3,Tommy Fleetwood,305.3,73.2,68.1,1.551,0,22,42,8,0,-14
,5,Taylor Moore,310.8,58.9,69.4,1.7,1,18,45,8,0,-12
,T6,Corey Conners,304.1,60.7,65.3,1.638,1,19,42,10,0,-11
,T6,Adam Schenk,301.2,55.4,69.4,1.7,0,20,43,9,0,-11
,T6,Russell Henley,279.4,67.9,69.4,1.68,0,19,45,8,0,-11
,T6,Cam Davis,298.8,64.3,62.5,1.756,2,14,49,7,0,-11
,T6,Sungjae Im,298.5,64.3,68.1,1.796,1,13,54,4,0,-11
,T6,Max Homa,308.2,62.5,63.9,1.674,1,18,46,5,2,-11
,T6,Jordan Spieth,305.0,64.3,56.9,1.585,1,17,46,8,0,-11
,T13,Sahith Theegala,312.0,55.4,55.6,1.675,0,15,52,5,0,-10
,T13,Collin Morikawa,283.8,69.6,72.2,1.731,1,15,49,7,0,-10
,T13,Viktor Hovland,306.3,58.9,68.1,1.612,1,22,37,10,2,-10
,T16,Hideki Matsuyama,296.9,48.2,62.5,1.644,1,18,43,9,1,-9
,T16,Chris Kirk,289.6,60.7,75.0,1.759,0,14,53,5,0,-9
,T16,Si Woo Kim,288.7,73.2,70.8,1.765,0,15,52,4,1,-9
,T16,Adam Hadwin,290.4,57.1,69.4,1.7,0,16,50,5,1,-9
,T20,Justin Rose,302.9,58.9,68.1,1.735,0,20,41,10,1,-8
,T20,Beau Hossler,298.5,67.9,73.6,1.774,1,13,52,5,1,-8
,T20,Stephan Jaeger,302.3,51.8,65.3,1.766,0,13,54,5,0,-8
,T20,Emiliano Grillo,290.8,57.1,62.5,1.667,0,19,43,9,1,-8
,T24,Nick Taylor,292.1,71.4,66.7,1.688,0,18,43,11,0,-7
,T24,J.J. Spaun,291.9,62.5,65.3,1.809,0,13,53,6,0,-7
,T24,Andrew Putnam,269.3,55.4,58.3,1.738,0,14,51,7,0,-7
,T24,Xander Schauffele,300.5,42.9,66.7,1.708,1,15,48,6,2,-7
,T24,Ben Griffin,285.7,55.4,63.9,1.717,0,16,47,9,0,-7
,T24,J.T. Poston,295.1,50.0,59.7,1.628,0,17,46,8,1,-7
,T24,Tom Kim,299.8,58.9,63.9,1.717,0,13,53,6,0,-7
,T31,Cameron Young,318.4,62.5,63.9,1.783,0,14,51,6,1,-6
,T31,Brian Harman,292.7,73.2,61.1,1.682,0,16,48,7,0,-6
,T31,Sam Ryder,292.3,51.8,66.7,1.604,1,18,42,8,3,-6
,T31,Lee Hodges,300.2,58.9,68.1,1.735,0,16,47,8,1,-6
,T31,Eric Cole,301.1,57.1,58.3,1.69,0,16,46,10,0,-6
,T31,Scottie Scheffler,305.4,57.1,73.6,1.717,0,18,44,8,2,-6
,T37,Brandon Wu,291.9,55.4,68.1,1.714,0,16,46,9,1,-5
,T37,Sam Stevens,304.0,46.4,68.1,1.735,0,15,48,8,1,-5
,T37,Taylor Montgomery,303.2,50.0,52.8,1.579,1,20,36,13,2,-5
,T37,Jon Rahm,313.1,55.4,66.7,1.688,0,19,41,10,2,-5
,T37,Adam Svensson,295.4,62.5,61.1,1.795,1,13,49,8,1,-5
,T37,Byeong Hun An,317.3,50.0,66.7,1.708,1,15,47,6,3,-5
