Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,J.T. Poston,295.2,73.2,83.3,1.7,2,22,43,5,0,-21
,T2,Christiaan Bezuidenhout,307.7,73.2,84.7,1.672,1,21,45,5,0,-18
,T2,Emiliano Grillo,322.5,73.2,87.5,1.714,0,23,44,5,0,-18
,T4,Chris Gotterup,335.1,60.7,76.4,1.745,2,21,41,8,0,-17
,T4,Scott Stallings,303.1,73.2,79.2,1.667,1,20,46,5,0,-17
,T6,Callum Tarren,330.4,55.4,73.6,1.755,1,20,45,6,0,-16
,T6,Denny McCarthy,295.6,78.6,81.9,1.678,0,21,46,5,0,-16
,T8,Cam Davis,330.1,66.1,86.1,1.694,1,20,45,5,1,-15
,T8,Maverick McNealy,308.8,75.0,69.4,1.68,0,22,43,7,0,-15
,T10,Patrick Flavin,305.4,64.3,66.7,1.688,1,17,49,5,0,-14
,T10,Chesson Hadley,304.5,66.1,80.6,1.724,0,22,42,8,0,-14
,T10,Michael Gligic,301.9,73.2,80.6,1.759,1,20,44,6,1,-14
,T13,Adam Long,301.9,64.3,75.0,1.722,0,18,49,5,0,-13
,T13,Charles Howell III,309.2,58.9,79.2,1.737,0,22,41,9,0,-13
,T13,Mark Hubbard,302.8,69.6,76.4,1.727,0,19,48,4,1,-13
,T16,Alex Smalley,297.9,64.3,68.1,1.796,2,14,50,6,0,-12
,T16,Austin Cook,288.3,71.4,72.2,1.712,0,20,45,6,1,-12
,T16,Sahith Theegala,287.9,53.6,72.2,1.673,0,21,43,7,1,-12
,T16,Greyson Sigg,310.5,67.9,80.6,1.707,1,18,46,6,1,-12
,T16,Patton Kizzire,313.9,64.3,70.8,1.686,1,20,42,8,1,-12
,T16,Matthias Schwab,307.5,66.1,75.0,1.685,1,20,41,10,0,-12
,T16,Bo Hoag,290.2,60.7,68.1,1.571,1,23,36,11,1,-12
,T16,Chris Naegel,320.2,69.6,79.2,1.737,3,14,47,8,0,-12
,T24,Ryan Moore,297.9,69.6,68.1,1.673,1,20,40,11,0,-11
,T24,Taylor Moore,291.3,67.9,72.2,1.635,0,23,39,9,0,-11
,T24,David Lipsky,303.7,75.0,73.6,1.792,0,19,45,8,0,-11
,T24,Adam Svensson,280.1,69.6,69.4,1.62,0,22,41,7,2,-11
,T24,C.T. Pan,302.7,76.8,73.6,1.679,1,19,44,6,2,-11
,T24,Kelly Kraft,303.4,76.8,72.2,1.673,0,23,38,10,1,-11
,T30,Nick Hardy,316.7,62.5,75.0,1.704,2,20,37,12,1,-10
,T30,Stephan Jaeger,291.8,73.2,77.8,1.804,1,15,49,6,1,-10
,T30,Peter Malnati,310.6,60.7,69.4,1.64,1,19,42,9,1,-10
,T30,Patrick Rodgers,307.7,46.4,70.8,1.647,3,17,40,11,1,-10
,T30,Brandon Wu,322.6,66.1,77.8,1.75,0,21,41,9,1,-10
,T30,Martin Laird,310.1,69.6,80.6,1.724,2,17,44,8,0,-10
,T30,Andrew Novak,289.8,67.9,65.3,1.66,1,17,45,9,0,-10
,T30,Hayden Buckley,311.1,71.4,80.6,1.81,2,16,46,6,2,-10
,T30,Dylan Frittelli,287.0,55.4,69.4,1.72,0,18,47,6,1,-10
,T30,Vaughn Taylor,291.3,73.2,73.6,1.642,0,22,39,10,1,-10
,T30,Satoshi Kodaira,294.5,80.4,75.0,1.667,2,19,41,7,3,-10
,T41,Kevin Streelman,297.0,60.7,70.8,1.804,1,13,52,6,0,-9
,T41,Andrew Putnam,285.8,82.1,72.2,1.788,1,13,52,6,0,-9
,T43,Dylan Wu,297.8,51.8,77.8,1.821,0,16,48,8,0,-8
,T43,Fabián Gómez,303.9,78.6,83.3,1.767,0,17,46,9,0,-8
,T43,Jonathan Byrd,282.2,62.5,73.6,1.736,1,17,44,9,1,-8
,T43,Lee Hodges,304.7,66.1,79.2,1.737,0,18,44,10,0,-8
,T43,Vince Whaley,305.0,55.4,61.1,1.636,0,19,43,9,1,-8
,T43,Brendon Todd,285.8,80.4,73.6,1.66,0,19,43,9,1,-8
,T43,S.Y. Noh,311.1,51.8,75.0,1.722,0,20,41,10,1,-8
,T43,Hank Lebioda,310.3,73.2,70.8,1.765,0,17,46,9,0,-8
,T51,Derek Ernst,326.7,66.1,76.4,1.727,0,17,45,10,0,-7
,T51,Anirban Lahiri,308.4,62.5,65.3,1.702,0,20,40,11,1,-7
,T51,Morgan Hoffmann,293.3,78.6,75.0,1.833,0,16,48,7,1,-7
,T51,Aaron Baddeley,299.9,58.9,70.8,1.667,1,16,46,7,2,-7
,T51,Preston Stanley,306.9,62.5,73.6,1.755,1,16,45,9,1,-7
,T51,Justin Lower,291.0,62.5,69.4,1.64,1,18,42,9,2,-7
,T51,Tommy Gainey,299.5,60.7,68.1,1.653,0,21,37,14,0,-7
,T51,Curtis Thompson,329.6,60.7,63.9,1.739,1,19,41,8,3,-7
,59,Michael Thompson,286.6,73.2,73.6,1.736,0,21,38,11,2,-6
,T60,Sam Ryder,292.9,51.8,69.4,1.84,0,12,54,5,1,-5
,T60,Zach Johnson,298.6,80.4,73.6,1.774,1,16,44,9,2,-5
,62,Kramer Hickok,291.3,64.3,66.7,1.75,3,12,42,15,0,-3
,T63,Martin Trainer,294.4,58.9,76.4,1.855,0,13,49,9,1,-2
,T63,Rory Sabbatini,300.9,64.3,66.7,1.688,1,15,42,13,1,-2
,T63,Brandon Hagy,342.5,50.0,61.1,1.841,0,14,46,12,0,-2
,66,Seth Reeves,333.6,64.3,62.5,1.844,1,13,48,7,2,-1
,T67,James Hahn,298.8,60.7,65.3,1.809,1,14,42,14,1,E
,T67,Omar Uresti,276.5,71.4,62.5,1.733,0,12,49,10,1,E
,69,Ricky Barnes,287.1,53.6,65.3,1.723,0,15,41,16,0,+1
