Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Jon Rahm,313.5,31.3,89.5,1.529,1,8,8,2,0,-27
,2,Collin Morikawa,281.1,68.0,87.1,1.593,0,14,17,0,0,-25
,T3,Tom Hoge,282.2,66.7,80.0,1.667,1,8,19,2,0,-23
,T3,Max Homa,286.7,75.9,82.9,1.759,1,8,22,3,1,-23
,T5,Tom Kim,276.6,70.6,90.5,1.579,2,6,11,2,0,-22
,T5,J.J. Spaun,286.4,62.1,88.6,1.645,0,15,19,1,0,-22
,T7,Tony Finau,287.8,72.0,80.7,1.68,0,9,20,2,0,-21
,T7,K.H. Lee,286.9,53.3,86.1,1.71,1,10,22,3,0,-21
,T7,Matt Fitzpatrick,286.8,57.9,82.6,1.684,0,8,14,1,0,-21
,T7,Scottie Scheffler,285.7,66.7,86.4,1.711,1,16,24,3,0,-21
,T11,Will Zalatoris,296.9,90.9,77.8,1.762,0,7,18,2,0,-20
,T11,Luke List,293.2,53.3,83.3,1.933,1,2,13,2,0,-20
,T13,Cameron Young,301.8,61.3,78.4,1.69,0,13,17,6,1,-19
,T13,Jordan Spieth,282.8,55.6,85.7,1.667,0,8,12,1,0,-19
,T13,Sungjae Im,287.8,67.7,86.5,1.875,0,11,23,3,0,-19
,T16,Patrick Cantlay,295.3,53.3,77.8,1.714,0,7,8,2,1,-18
,T16,Brian Harman,282.0,74.2,78.4,1.724,0,12,22,3,0,-18
,T18,Viktor Hovland,290.8,54.2,73.3,1.682,0,13,9,7,1,-17
,T18,Corey Conners,277.7,70.8,83.3,1.88,0,7,22,1,0,-17
,T18,Aaron Wise,283.5,72.4,88.6,1.71,0,14,16,5,0,-17
,T21,Mackenzie Hughes,276.9,68.4,82.6,1.579,1,7,14,1,0,-16
,T21,Sepp Straka,281.1,69.7,87.5,1.771,0,12,24,3,0,-16
,T21,J.T. Poston,284.6,84.6,91.7,1.818,0,15,30,3,0,-16
,T21,Hideki Matsuyama,277.5,76.0,74.2,1.739,0,10,19,1,1,-16
,T25,Justin Thomas,298.3,55.6,81.8,1.778,0,7,12,2,1,-15
,T25,Scott Stallings,278.4,62.5,73.3,1.773,1,8,17,4,0,-15
,T25,Séamus Power,300.4,66.7,66.7,1.583,0,8,7,3,0,-15
,28,Trey Mullinax,295.6,65.2,86.2,1.88,0,6,22,1,0,-14
,29,Adam Scott,301.1,58.8,76.2,1.75,0,6,13,2,0,-13
,T30,Billy Horschel,286.0,52.9,81.0,1.824,0,3,14,4,0,-12
,T30,Russell Henley,272.1,88.0,83.9,1.731,0,10,17,4,0,-12
,32,Sam Burns,289.7,56.5,82.8,1.792,0,8,17,4,0,-11
,33,Sahith Theegala,281.9,63.3,86.1,1.806,1,9,23,3,0,-10
,34,Keegan Bradley,284.7,75.0,90.0,1.815,0,7,21,2,0,-9
,T35,Chez Reavie,275.4,81.3,79.0,1.733,0,5,11,3,0,-7
,T35,Ryan Brehm,291.7,64.5,83.8,1.742,0,10,24,3,0,-7
,37,Adam Svensson,268.2,64.5,86.5,1.969,0,9,23,5,0,-5
,38,Chad Ramey,274.8,75.0,79.2,1.842,0,7,11,5,0,-2
