Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Stephan Jaeger,320.1,53.9,68.1,1.694,0,19,46,7,0,-12
,T2,Tony Finau,316.6,67.3,80.6,1.81,1,19,42,10,0,-11
,T2,Taylor Moore,306.8,61.5,68.1,1.653,1,17,46,8,0,-11
,T2,Scottie Scheffler,321.4,59.6,66.7,1.667,0,22,41,7,2,-11
,T2,Thomas Detry,308.8,55.8,66.7,1.813,0,16,51,5,0,-11
,T2,Alejandro Tosti,329.5,38.5,69.4,1.76,0,22,40,9,1,-11
,T7,Billy Horschel,295.4,67.3,69.4,1.78,0,19,45,7,1,-10
,T7,Aaron Rai,297.4,63.5,76.4,1.764,0,15,52,5,0,-10
,T7,Max Greyserman,321.9,51.9,65.3,1.745,1,14,51,6,0,-10
,T7,David Skinns,302.8,46.2,70.8,1.745,0,15,52,5,0,-10
,T11,Alex Noren,291.5,65.4,70.8,1.824,2,12,51,7,0,-9
,T11,Nick Dunlap,315.9,36.5,55.6,1.6,1,21,37,12,1,-9
,T11,Akshay Bhatia,301.4,71.2,72.2,1.769,3,11,50,8,0,-9
,T14,Mackenzie Hughes,303.6,50.0,69.4,1.82,0,16,49,6,1,-8
,T14,Davis Riley,300.0,59.6,68.1,1.714,1,19,41,9,2,-8
,T14,Tom Hoge,301.9,57.7,69.4,1.66,0,19,42,11,0,-8
,T17,Si Woo Kim,294.1,69.2,61.1,1.727,0,17,45,10,0,-7
,T17,Erik Barnes,305.6,48.1,70.8,1.765,0,16,47,9,0,-7
,T17,Victor Perez,307.8,51.9,70.8,1.824,0,16,48,7,1,-7
,T17,Chad Ramey,295.8,65.4,73.6,1.717,0,17,45,10,0,-7
,T21,Davis Thompson,313.8,55.8,66.7,1.813,0,13,52,7,0,-6
,T21,Gary Woodland,328.3,46.2,69.4,1.84,0,20,39,12,1,-6
,T21,Cam Davis,305.8,61.5,63.9,1.804,0,17,44,11,0,-6
,T21,Matti Schmid,319.5,53.9,62.5,1.667,0,20,38,14,0,-6
,T21,Joe Highsmith,297.5,61.5,68.1,1.673,1,18,40,12,1,-6
,T21,Nate Lashley,293.6,69.2,83.3,1.833,0,12,55,4,1,-6
,T21,Jacob Bridgeman,303.8,59.6,69.4,1.76,1,18,41,10,2,-6
,T28,Sahith Theegala,312.6,59.6,75.0,1.815,1,14,46,11,0,-5
,T28,Justin Lower,306.0,51.9,65.3,1.787,0,11,56,4,1,-5
,T28,Harry Hall,289.1,51.9,62.5,1.733,0,12,53,7,0,-5
,T31,Wyndham Clark,324.6,48.1,68.1,1.796,0,17,44,9,2,-4
,T31,Mark Hubbard,292.1,55.8,58.3,1.738,0,16,44,12,0,-4
,T31,Martin Laird,293.9,61.5,70.8,1.804,0,15,46,11,0,-4
,T31,K.H. Lee,304.4,65.4,69.4,1.8,0,13,51,7,1,-4
,T31,Ryan Moore,290.1,69.2,66.7,1.833,0,13,50,9,0,-4
,T36,Jhonattan Vegas,320.3,38.5,73.6,1.774,0,16,44,11,1,-3
,T36,Joseph Bramlett,312.8,53.9,61.1,1.818,0,13,49,10,0,-3
,T36,Taylor Pendrith,315.6,46.2,73.6,1.792,0,14,48,9,1,-3
,T36,Ben Griffin,295.8,46.2,62.5,1.778,1,13,47,10,1,-3
,T36,Wilson Furr,317.5,48.1,61.1,1.727,1,14,46,9,2,-3
,T36,Peter Malnati,303.9,44.2,63.9,1.848,1,11,50,10,0,-3
,T36,J.J. Spaun,292.5,51.9,68.1,1.816,0,14,51,5,1,-3
,T36,Kurt Kitayama,307.5,57.7,66.7,1.854,0,16,44,11,1,-3
,T36,Ben Silverman,291.8,53.9,59.7,1.767,0,15,45,12,0,-3
,T45,Greyson Sigg,292.4,61.5,70.8,1.863,0,12,50,10,0,-2
,T45,Roger Sloan,293.4,42.3,66.7,1.813,0,13,49,9,1,-2
,T45,Bud Cauley,297.5,61.5,65.3,1.915,0,9,56,7,0,-2
,T45,Daniel Berger,296.1,71.2,68.1,1.837,0,12,51,8,1,-2
,T45,Chandler Phillips,296.0,48.1,63.9,1.848,0,11,53,7,1,-2
,T45,S.H. Kim,306.8,46.2,68.1,1.878,0,12,50,10,0,-2
,T45,Cameron Champ,317.1,55.8,61.1,1.705,0,18,39,14,1,-2
,T45,Kevin Dougherty,314.8,53.9,68.1,1.816,0,13,48,11,0,-2
,T53,Ryan Brehm,313.6,55.8,56.9,1.878,0,11,51,10,0,-1
,T53,Andrew Novak,316.6,59.6,54.2,1.718,0,14,46,11,1,-1
,T53,Austin Cook,287.8,55.8,66.7,1.875,0,9,55,8,0,-1
,T53,Chan Kim,322.5,57.7,76.4,1.891,1,11,49,10,1,-1
,T57,Chris Gotterup,321.3,46.2,61.1,1.818,0,13,46,13,0,E
,T57,Nick Hardy,295.3,50.0,56.9,1.854,0,10,52,10,0,E
,T57,Beau Hossler,302.1,42.3,68.1,1.796,0,11,51,9,1,E
,T57,Pierceson Coody,310.0,55.8,65.3,1.745,0,15,45,9,3,E
,T57,Sam Stevens,313.5,53.9,56.9,1.732,2,10,47,12,1,E
,T57,Lanto Griffin,310.3,53.9,70.8,1.824,0,16,42,12,2,E
,T57,Adam Svensson,295.6,50.0,68.1,1.837,0,11,50,11,0,E
,T64,Sam Ryder,299.5,46.2,68.1,1.776,0,15,43,12,2,+1
,T64,Tyson Alexander,308.5,44.2,61.1,1.75,1,12,46,11,2,+1
,T64,Adam Long,288.0,53.9,63.9,1.804,0,14,44,13,1,+1
,T64,Michael Kim,312.0,50.0,65.3,1.83,1,9,52,8,2,+1
,T64,Harrison Endycott,287.4,53.9,59.7,1.86,1,9,51,10,1,+1
,T69,Scott Gutschewski,300.8,40.4,63.9,1.826,0,11,49,11,1,+2
,T69,Callum Tarren,313.3,57.7,68.1,1.878,1,12,45,12,2,+2
,T69,Garrick Higgo,310.6,42.3,58.3,1.786,1,13,41,17,0,+2
,T72,Sam Bennett,284.1,67.3,58.3,1.857,0,8,55,7,2,+3
,T72,James Hahn,286.9,51.9,61.1,1.773,1,10,49,9,3,+3
