Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Brice Garnett,287.7,70.0,77.6,1.746,2,19,53,2,0,-19
,2,Erik Barnes,294.4,56.7,72.4,1.636,0,21,54,1,0,-19
,T3,Victor Perez,285.8,69.6,83.3,1.667,1,19,50,1,1,-18
,T3,Hayden Springer,301.6,55.4,76.4,1.6,0,24,42,6,0,-18
,T3,Jimmy Stanger,298.4,62.5,72.2,1.731,0,22,46,4,0,-18
,T6,Adrien Dumont de Chassart,292.3,67.9,79.2,1.614,1,22,43,5,1,-17
,T6,Joe Highsmith,294.9,62.5,80.6,1.707,1,21,44,6,0,-17
,T6,Ben Kohles,273.0,69.6,79.2,1.684,0,21,47,4,0,-17
,9,Norman Xiong,307.6,67.9,66.7,1.542,1,23,40,7,1,-16
,T10,Jackson Van Paris (a),291.8,51.8,76.4,1.691,1,19,46,6,0,-15
,T10,Evan Harmeling,293.4,58.9,70.8,1.686,2,17,48,4,1,-15
,T10,Austin Cook,275.6,62.5,75.0,1.722,0,19,49,4,0,-15
,T10,Martin Laird,268.4,57.1,73.6,1.736,0,19,49,4,0,-15
,T10,Matti Schmid,287.7,62.5,81.9,1.695,0,21,45,6,0,-15
,T15,Henrik Norlander,273.9,66.1,70.8,1.725,1,15,53,3,0,-14
,T15,Max Greyserman,292.7,58.9,72.2,1.635,0,24,40,6,2,-14
,T15,Nico Echavarria,278.9,51.8,76.4,1.727,0,20,47,4,1,-14
,T18,Rafael Campos,300.9,53.6,68.1,1.776,0,20,45,7,0,-13
,T18,Richy Werenski,283.3,60.7,73.6,1.792,0,18,49,5,0,-13
,T18,Ryo Hisatsune,287.0,67.9,75.0,1.722,0,21,44,6,1,-13
,T18,Sam Stevens,296.8,55.4,73.6,1.736,1,18,47,5,1,-13
,T18,Vince Whaley,290.6,41.1,72.2,1.731,1,17,48,6,0,-13
,T23,Kevin Chappell,288.6,66.1,70.8,1.667,1,20,41,10,0,-12
,T23,Mac Meissner,296.4,58.9,73.6,1.717,1,16,49,6,0,-12
,T23,Troy Merritt,275.6,75.0,73.6,1.717,0,20,44,8,0,-12
,T23,Aaron Rai,277.6,64.3,70.8,1.784,1,16,49,6,0,-12
,T23,Michael Kim,286.0,55.4,58.3,1.619,0,20,44,8,0,-12
,T23,Jacob Bridgeman,278.9,60.7,58.3,1.762,0,18,48,6,0,-12
,T23,Aaron Baddeley,271.4,58.9,70.8,1.745,0,16,52,4,0,-12
,T23,Cody Gribble,287.0,69.6,75.0,1.648,0,21,43,7,1,-12
,T23,Tyler Duncan,285.6,67.9,72.2,1.692,1,17,48,5,1,-12
,T32,Zecheng Dou,286.3,62.5,70.8,1.706,0,17,49,6,0,-11
,T32,S.Y. Noh,293.6,60.7,72.2,1.731,0,17,49,6,0,-11
,T32,Tommy Gainey,275.0,58.9,76.4,1.764,1,17,47,6,1,-11
,T32,Fred Biondi,279.3,51.8,63.9,1.717,0,17,49,6,0,-11
,T32,Pierceson Coody,306.1,62.5,76.4,1.818,0,20,44,7,1,-11
,T32,Kevin Tway,290.0,55.4,79.2,1.772,0,18,48,5,1,-11
,T32,Garrick Higgo,299.6,50.0,76.4,1.691,0,23,39,8,2,-11
,T32,Kevin Streelman,280.4,57.1,72.2,1.75,0,19,45,8,0,-11
,T32,Robert MacIntyre,291.8,55.4,69.4,1.74,0,19,45,8,0,-11
,T32,Rico Hoey,297.3,57.1,75.0,1.759,0,21,41,10,0,-11
,T42,Ben Silverman,278.1,57.1,84.7,1.77,0,18,47,6,1,-10
,T42,Brandon Wu,283.4,57.1,68.1,1.714,0,23,36,13,0,-10
,T42,Ben Martin,279.4,53.6,69.4,1.68,0,19,45,7,1,-10
,T42,Harrison Endycott,278.5,50.0,70.8,1.686,1,16,48,6,1,-10
,T42,Raul Pereda,269.5,51.8,52.8,1.684,0,16,50,6,0,-10
,T42,Patrick Fishburn,296.4,64.3,70.8,1.706,0,18,47,6,1,-10
,T42,Scott Piercy,285.0,55.4,66.7,1.667,1,21,38,11,1,-10
,T49,Jim Herman,267.9,62.5,73.6,1.755,0,15,51,6,0,-9
,T49,Chris Nido,292.3,51.8,69.4,1.7,0,18,45,9,0,-9
,T49,Taiga Semikawa,292.9,64.3,77.8,1.804,1,13,52,6,0,-9
,T49,Rasmus Højgaard,300.3,44.6,75.0,1.722,0,20,43,7,2,-9
,T49,Harry Hall,281.6,66.1,76.4,1.8,0,19,43,10,0,-9
,T49,Joel Dahmen,277.8,48.2,72.2,1.712,0,15,51,6,0,-9
,T55,Ben Griffin,286.3,46.4,70.8,1.843,0,16,48,8,0,-8
,T55,Roger Sloan,278.4,67.9,76.4,1.745,0,20,40,12,0,-8
,T55,Ryan Brehm,302.5,57.1,76.4,1.8,3,14,44,10,1,-8
,T58,Ryan McCormick,294.3,55.4,75.0,1.815,1,17,43,10,1,-7
,T58,Michael Gligic,283.5,53.6,63.9,1.739,0,16,48,7,1,-7
,T58,Paul Haley II,273.7,50.0,72.2,1.75,0,14,52,5,1,-7
,T61,Sangmoon Bae,283.8,66.1,73.6,1.792,0,13,53,5,1,-6
,T61,Josh Teater,283.8,71.4,68.1,1.755,2,14,44,12,0,-6
,T61,Sean O'Hair,284.9,62.5,63.9,1.717,0,17,44,11,0,-6
,T61,Kyle Stanley,276.8,60.7,77.8,1.857,1,13,49,9,0,-6
,T61,Tom Whitney,282.5,58.9,76.4,1.8,0,20,41,8,3,-6
,T61,Chan Kim,264.5,57.1,63.9,1.652,0,21,39,10,1,-6
,67,David Skinns,300.4,50.0,69.4,1.78,1,15,45,10,1,-5
,T68,Austin Smotherman,289.3,76.8,73.6,1.811,0,13,50,9,0,-4
,T68,Brian Stuard,261.1,69.6,72.2,1.846,0,11,55,5,1,-4
,T68,Tyler Collet,285.0,60.7,70.8,1.824,0,12,53,6,1,-4
,71,Chris Stroud,274.5,66.1,68.1,1.837,0,15,45,12,0,-3
,72,Angel Ayora,292.8,58.9,66.7,1.729,0,17,41,13,1,-2
