Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Scottie Scheffler,338.6,66.1,75.0,1.556,1,24,41,6,0,-30
,2,Collin Morikawa,322.6,78.6,70.8,1.51,0,27,40,5,0,-26
,3,Sahith Theegala,327.6,55.4,73.6,1.585,0,29,36,6,1,-24
,T4,Russell Henley,307.2,66.1,68.1,1.592,1,21,44,6,0,-19
,T4,Adam Scott,318.5,58.9,63.9,1.609,0,22,44,6,0,-19
,T4,Xander Schauffele,319.7,50.0,62.5,1.689,0,18,47,7,0,-19
,7,Sungjae Im,320.2,66.1,63.9,1.63,1,21,42,8,0,-18
,8,Wyndham Clark,319.4,60.7,65.3,1.596,2,18,44,7,1,-17
,T9,Rory McIlroy,336.4,50.0,69.4,1.7,0,18,48,6,0,-16
,T9,Hideki Matsuyama,318.9,60.7,69.4,1.7,0,19,44,8,1,-16
,T9,Shane Lowry,310.0,66.1,72.2,1.654,0,19,48,4,1,-16
,T12,Viktor Hovland,323.1,53.6,68.1,1.592,0,24,39,7,2,-15
,T12,Sam Burns,323.3,58.9,66.7,1.625,0,20,44,7,1,-15
,T14,Justin Thomas,319.7,62.5,69.4,1.64,0,21,44,7,0,-14
,T14,Taylor Pendrith,330.1,46.4,66.7,1.563,1,25,32,14,0,-14
,16,Ludvig Åberg,324.9,62.5,63.9,1.739,1,14,48,9,0,-12
,T17,Robert MacIntyre,326.8,50.0,61.1,1.545,0,21,40,10,1,-11
,T17,Matthieu Pavon,322.0,58.9,73.6,1.717,1,17,45,9,0,-11
,T17,Patrick Cantlay,324.9,51.8,61.1,1.705,0,19,41,12,0,-11
,20,Tommy Fleetwood,319.1,55.4,72.2,1.731,0,15,53,3,0,-10
,T21,Keegan Bradley,318.9,53.6,61.1,1.659,0,18,41,10,3,-8
,T21,Byeong Hun An,332.5,46.4,73.6,1.792,0,14,51,6,1,-8
,T23,Billy Horschel,307.2,58.9,62.5,1.622,2,14,44,11,1,-6
,T23,Aaron Rai,304.6,66.1,65.3,1.66,0,20,41,8,3,-6
,T23,Tony Finau,329.9,60.7,72.2,1.885,0,12,52,7,1,-6
,26,Akshay Bhatia,301.6,62.5,59.7,1.674,1,13,49,6,3,-5
,T27,Chris Kirk,319.5,62.5,65.3,1.638,0,19,40,10,3,-3
,T27,Sepp Straka,309.4,51.8,65.3,1.638,0,18,43,8,2,-3
,T29,Christiaan Bezuidenhout,296.3,44.6,51.4,1.649,0,14,44,11,3,3
,T29,Tom Hoge,315.2,55.4,56.9,1.756,0,11,49,10,2,3
