Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Trey Mullinax,310.2,57.1,81.9,1.661,1,27,40,4,0,-25
,2,Kevin Streelman,285.5,82.1,77.8,1.536,2,25,41,3,1,-24
,3,Mark Hubbard,278.1,76.8,76.4,1.655,2,23,42,5,0,-22
,4,Hurly Long,292.8,71.4,73.6,1.642,1,23,44,4,0,-21
,5,Vince Whaley,296.9,51.8,69.4,1.58,2,24,38,8,0,-20
,6,Adam Svensson,286.1,67.9,73.6,1.604,2,25,37,6,2,-19
,7,Michael Kim,301.8,64.3,75.0,1.722,1,23,41,7,0,-18
,T8,Marcus Helligkilde,292.9,62.5,79.2,1.719,2,18,47,5,0,-17
,T8,Justin Lower,291.2,73.2,65.3,1.596,1,24,39,7,1,-17
,T8,Ricardo Gouveia,282.3,75.0,69.4,1.64,2,20,43,7,0,-17
,T8,Sean O'Hair,298.0,58.9,69.4,1.56,2,23,38,8,1,-17
,T8,Matti Schmid,310.4,57.1,70.8,1.667,0,28,35,7,2,-17
,T13,Taylor Pendrith,311.5,60.7,72.2,1.712,1,19,47,5,0,-16
,T13,Espen Kofstad,299.6,71.4,69.4,1.72,2,15,53,1,1,-16
,T13,Camilo Villegas,287.0,69.6,73.6,1.698,1,19,47,5,0,-16
,T13,Ben Kohles,284.8,73.2,79.2,1.719,1,20,45,6,0,-16
,T13,Kramer Hickok,291.4,67.9,80.6,1.776,1,17,51,3,0,-16
,T13,Max McGreevy,287.7,67.9,66.7,1.604,0,23,43,5,1,-16
,T13,Tyler Duncan,290.7,85.7,75.0,1.63,2,22,42,5,0,-16
,20,Yannik Paul,301.2,71.4,69.4,1.72,2,17,49,3,0,-15
,T21,Kevin Chappell,298.4,67.9,70.8,1.725,2,18,44,8,0,-14
,T21,Taylor Moore,299.4,62.5,77.8,1.714,0,19,48,5,0,-14
,T21,Doc Redman,297.5,78.6,73.6,1.679,0,21,44,7,0,-14
,T21,Dylan Wu,293.8,69.6,75.0,1.778,1,17,50,3,1,-14
,T21,Patrick Flavin,288.5,48.2,65.3,1.66,0,20,47,4,1,-14
,T21,Michael Gligic,306.3,69.6,76.4,1.655,1,24,38,7,1,-14
,T27,James Hahn,296.7,64.3,66.7,1.625,1,21,41,8,1,-13
,T27,Austin Cook,277.9,62.5,75.0,1.759,1,18,46,7,0,-13
