Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Sahith Theegala,297.8,46.2,58.8,1.6,0,5,11,1,0,-21
,2,S.H. Kim,307.3,66.7,75.0,1.6,1,6,13,0,0,-19
,3,Cam Davis,287.9,50.0,66.7,1.667,0,6,10,2,0,-17
,4,Eric Cole,296.6,31.3,71.4,1.533,0,8,9,4,0,-16
,5,Justin Thomas,319.1,25.0,71.4,1.8,0,4,15,2,0,-15
,6,Brendon Todd,273.3,64.3,88.9,1.813,0,4,13,1,0,-14
,T7,Troy Merritt,290.0,66.7,66.7,1.722,0,7,15,5,0,-13
,T7,Max Homa,322.7,57.1,72.2,1.692,0,5,11,1,1,-13
,T7,Callum Tarren,315.6,64.3,72.2,1.692,0,5,12,1,0,-13
,T7,Matt Kuchar,295.3,38.5,58.8,1.2,1,6,7,1,1,-13
,T11,Matthias Schwab,307.3,46.7,75.0,1.867,0,4,13,3,0,-12
,T11,J.J. Spaun,296.3,38.1,88.9,1.833,0,7,17,3,0,-12
,T11,Peter Malnati,289.1,35.7,61.1,1.727,0,3,13,2,0,-12
,T14,Dylan Wu,300.9,56.0,78.1,1.68,0,9,19,4,0,-11
,T14,Sam Ryder,294.7,15.4,76.5,1.538,0,6,9,2,0,-11
,T14,K.H. Lee,299.8,28.6,77.8,1.714,0,5,10,3,0,-11
,T17,Doug Ghim,299.5,26.7,68.4,1.692,0,4,14,1,0,-10
,T17,Mark Hubbard,304.6,63.6,85.7,1.708,0,8,18,2,0,-10
,T19,Martin Laird,279.0,78.6,72.2,1.846,0,5,10,3,0,-9
,T19,Carson Young,295.2,59.3,76.5,1.731,0,7,24,3,0,-9
,T19,Jason Dufner,303.2,72.7,64.3,1.667,0,11,13,4,0,-9
,T19,Hank Lebioda,304.0,54.6,75.0,1.714,0,6,20,2,0,-9
,T19,Chad Ramey,290.2,37.5,76.2,1.75,0,4,16,1,0,-9
,T19,Robby Shelton,294.0,41.2,81.0,1.765,0,5,15,1,0,-9
,T25,Luke List,314.7,53.9,76.5,1.692,0,4,11,1,1,-8
,T25,Greyson Sigg,316.2,64.0,78.1,1.76,0,7,22,3,0,-8
,T25,Vince Whaley,307.2,46.4,77.8,1.714,0,9,25,1,1,-8
,T25,D.J. Trahan,302.6,61.5,64.7,1.727,0,4,10,3,0,-8
,T25,Kelly Kraft,298.9,36.8,72.0,1.778,0,6,19,0,0,-8
,T30,Tyson Alexander,293.6,50.0,50.0,1.778,0,2,13,3,0,-7
,T30,Russell Knox,266.7,50.0,82.4,1.786,0,4,12,1,0,-7
,T30,David Lipsky,303.7,53.9,76.5,1.692,0,4,12,1,0,-7
,T30,Nate Lashley,312.0,57.1,83.3,1.933,0,3,13,2,0,-7
,T30,Ben Taylor,309.9,57.1,50.0,1.667,0,4,10,4,0,-7
,T30,Erik van Rooyen,310.5,28.6,88.9,1.875,0,3,13,2,0,-7
,T30,Satoshi Kodaira,289.7,75.0,76.2,1.75,0,6,14,1,0,-7
,T30,Justin Suh,317.1,60.0,68.4,1.692,0,4,13,1,1,-7
,T30,Beau Hossler,284.2,53.9,58.8,1.6,0,5,9,3,0,-7
,T30,Tom Johnson,303.2,65.0,84.0,1.81,0,7,15,3,0,-7
,T30,Lucas Herbert,303.4,56.3,70.0,1.286,0,10,9,1,0,-7
,T30,Jimmy Walker,309.6,42.9,72.2,1.769,0,4,12,2,0,-7
,T30,Davis Thompson,316.3,60.0,73.7,1.786,0,4,13,2,0,-7
,T30,Scott Harrington,310.9,37.5,66.7,1.786,0,4,14,3,0,-7
,T30,Martin Trainer,293.0,36.8,75.0,1.722,0,7,15,2,0,-7
,T45,Stephan Jaeger,320.0,33.3,79.0,1.933,0,3,13,3,0,-6
,T45,James Hahn,300.2,58.8,68.2,1.867,0,2,19,1,0,-6
,T45,Andrew Landry,297.8,64.7,63.6,1.714,0,4,15,3,0,-6
,T45,Sam Stevens,304.5,26.7,65.0,1.692,0,5,13,1,1,-6
,T45,Harry Hall,296.2,52.2,73.3,1.636,0,9,18,3,0,-6
,T45,Ryan Moore,299.0,83.3,72.7,1.875,0,5,15,2,0,-6
,T45,Justin Lower,290.8,45.5,72.4,1.714,0,9,16,4,0,-6
,T52,Mackenzie Hughes,288.6,46.2,88.2,1.767,0,8,24,2,0,-5
,T52,Zac Blair,291.1,53.3,84.2,1.688,0,7,11,1,0,-5
,T52,Brice Garnett,284.9,36.8,56.0,1.857,0,3,18,4,0,-5
