Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Emiliano Grillo,283.0,61.4,66.2,1.612,1,19,44,8,2,-8
,2,Adam Schenk,305.1,66.7,61.6,1.733,0,14,53,6,0,-8
,T3,Scottie Scheffler,319.5,57.1,73.6,1.792,1,12,52,7,0,-7
,T3,Harry Hall,276.8,60.7,59.7,1.651,0,18,45,7,2,-7
,5,Paul Haley II,287.6,62.5,54.2,1.641,0,18,42,12,0,-6
,T6,Rickie Fowler,300.1,57.1,55.6,1.7,0,16,45,11,0,-5
,T6,Michael Kim,309.9,58.9,58.3,1.762,0,10,57,5,0,-5
,T6,Sam Burns,323.0,53.6,62.5,1.756,0,13,51,8,0,-5
,T9,Mark Hubbard,297.9,48.2,65.3,1.766,1,12,50,8,1,-4
,T9,Max Homa,308.9,46.4,56.9,1.634,0,17,43,11,1,-4
,T9,Kevin Streelman,286.9,57.1,52.8,1.684,0,14,48,10,0,-4
,T12,Justin Rose,303.5,66.1,69.4,1.8,0,12,52,7,1,-3
,T12,Aaron Rai,299.3,75.0,69.4,1.76,0,15,46,10,1,-3
,T12,Chad Ramey,295.7,44.6,51.4,1.811,0,7,61,4,0,-3
,T12,Harris English,300.4,75.0,63.9,1.717,1,12,48,11,0,-3
,T16,Russell Henley,300.2,62.5,65.3,1.766,0,11,52,9,0,-2
,T16,Austin Eckroat,290.5,76.8,61.1,1.727,0,12,50,10,0,-2
,T16,Viktor Hovland,303.4,67.9,59.7,1.744,1,12,49,8,2,-2
,T16,David Lipsky,291.4,58.9,51.4,1.676,0,14,46,12,0,-2
,T16,Justin Suh,299.0,53.6,59.7,1.674,0,15,45,11,1,-2
,T21,Aaron Baddeley,277.9,44.6,63.9,1.783,0,11,51,10,0,-1
,T21,Austin Smotherman,285.7,44.6,51.4,1.595,0,17,39,16,0,-1
,T21,Kramer Hickok,284.0,66.1,69.4,1.84,0,10,53,9,0,-1
,T21,Carson Young,282.3,50.0,63.9,1.717,0,15,46,9,1,-1
,T21,Thomas Detry,305.2,57.1,55.6,1.7,0,14,46,11,1,-1
,T21,Christiaan Bezuidenhout,298.5,62.5,58.3,1.81,0,11,51,10,0,-1
,T21,Ryan Fox,320.1,48.2,55.6,1.7,0,14,46,11,1,-1
,T21,Byeong Hun An,331.6,57.1,55.6,1.8,0,13,47,12,0,-1
,T29,Kurt Kitayama,301.9,44.6,58.3,1.786,0,11,50,11,0,E
,T29,Alex Noren,285.6,37.5,56.9,1.78,0,11,51,9,1,E
,T29,Collin Morikawa,292.5,55.4,70.8,1.745,0,16,43,11,1,E
,T29,Sepp Straka,301.3,66.1,56.9,1.732,0,15,42,15,0,E
,T29,Lee Hodges,299.9,66.1,65.3,1.809,2,8,51,10,1,E
,T29,Sam Stevens,314.3,62.5,62.5,1.778,0,14,44,14,0,E
,T29,Robby Shelton,281.4,58.9,51.4,1.784,0,10,52,10,0,E
,T29,Peter Malnati,300.6,46.4,59.7,1.86,0,10,52,10,0,E
,T29,Si Woo Kim,301.5,69.6,55.6,1.675,0,14,44,14,0,E
,T29,Brian Harman,301.0,58.9,56.9,1.78,0,10,53,8,1,E
,T29,Andrew Putnam,282.1,60.7,58.3,1.738,0,12,49,10,1,E
,T40,Billy Horschel,301.0,62.5,54.2,1.615,0,15,42,14,1,+1
,T40,Jimmy Walker,321.0,55.4,68.1,1.816,0,11,50,10,1,+1
,T40,Chez Reavie,287.8,55.4,56.9,1.78,0,12,48,11,1,+1
,T40,Alex Smalley,293.2,69.6,69.4,1.9,0,12,47,13,0,+1
,T40,Luke Donald,275.6,62.5,62.5,1.889,0,7,58,6,1,+1
,T40,Scott Piercy,296.0,57.1,51.4,1.757,0,12,47,13,0,+1
,T40,Min Woo Lee,320.4,51.8,54.2,1.769,0,10,53,7,2,+1
,T40,Andrew Novak,292.3,53.6,54.2,1.872,1,9,50,12,0,+1
,T48,Nick Hardy,306.7,55.4,56.9,1.756,0,12,47,12,1,+2
,T48,Vincent Norrman,328.1,51.8,65.3,1.809,0,10,50,12,0,+2
,T48,Matt NeSmith,294.3,73.2,63.9,1.87,0,8,54,10,0,+2
,T48,Patton Kizzire,298.2,53.6,58.3,1.833,0,10,50,12,0,+2
,T52,Maverick McNealy,301.0,46.4,51.4,1.703,0,12,47,11,2,+3
,T52,Ben Griffin,298.9,55.4,55.6,1.6,0,17,38,14,3,+3
,T52,Tom Hoge,294.2,55.4,61.1,1.75,1,10,48,11,2,+3
,T52,Will Gordon,300.8,64.3,63.9,1.739,1,12,43,15,1,+3
,56,Akshay Bhatia,302.5,55.4,59.7,1.837,0,14,43,12,3,+4
,T57,K.H. Lee,294.5,53.6,62.5,1.844,0,8,53,9,2,+5
