Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Luke List,314.0,50.9,74.0,1.704,0,23,43,7,0,-15
,2,Will Zalatoris,306.6,43.9,80.8,1.797,3,12,55,3,0,-15
,T3,Cameron Tringale,286.4,57.1,70.8,1.647,1,19,45,7,0,-14
,T3,Jon Rahm,323.4,55.4,80.6,1.672,1,21,42,7,1,-14
,T3,Jason Day,306.9,53.6,70.8,1.627,2,18,44,8,0,-14
,T6,Joaquín Niemann,308.2,62.5,69.4,1.64,0,22,41,9,0,-13
,T6,Pat Perez,289.9,48.2,70.8,1.667,1,22,38,11,0,-13
,T6,Justin Rose,302.6,58.9,70.8,1.647,0,22,41,9,0,-13
,T6,Sungjae Im,302.9,71.4,75.0,1.722,1,16,51,3,1,-13
,T6,Aaron Rai,314.2,57.1,79.2,1.719,2,21,37,12,0,-13
,T11,Austin Smotherman,314.1,53.6,72.2,1.692,0,21,42,9,0,-12
,T11,Michael Thompson,288.6,67.9,73.6,1.717,2,16,48,4,2,-12
,T11,Taylor Montgomery,318.2,42.9,63.9,1.696,1,18,45,8,0,-12
,T11,Billy Horschel,301.2,57.1,62.5,1.533,0,24,37,10,1,-12
,T11,Si Woo Kim,302.0,62.5,63.9,1.674,1,18,45,8,0,-12
,T16,Marc Leishman,309.2,53.6,70.8,1.667,0,19,45,8,0,-11
,T16,Sepp Straka,296.8,58.9,69.4,1.78,0,16,51,5,0,-11
,T16,Taylor Pendrith,322.6,48.2,77.8,1.732,1,17,46,8,0,-11
,T16,Ryan Palmer,305.1,51.8,77.8,1.786,1,18,44,9,0,-11
,T20,Talor Gooch,307.3,51.8,73.6,1.755,1,15,49,7,0,-10
,T20,Daniel Berger,285.2,73.2,63.9,1.761,1,17,45,9,0,-10
,T20,Scottie Scheffler,307.1,55.4,81.9,1.78,0,19,44,9,0,-10
,T20,Cameron Young,308.8,64.3,68.1,1.796,1,19,41,11,0,-10
,T20,Justin Thomas,308.4,42.9,73.6,1.717,0,21,40,11,0,-10
,T25,Doc Redman,299.5,51.8,70.8,1.706,0,19,43,10,0,-9
,T25,Mito Pereira,307.5,50.0,70.8,1.784,1,13,53,4,1,-9
,T25,Sahith Theegala,307.0,50.0,63.9,1.848,2,15,45,10,0,-9
,T25,Dustin Johnson,318.6,57.1,72.2,1.75,0,19,44,8,1,-9
,T25,Peter Malnati,297.4,48.2,61.1,1.659,0,17,48,6,1,-9
,T30,Lanto Griffin,305.7,55.4,66.7,1.729,2,16,43,10,1,-8
,T30,Hideki Matsuyama,310.2,66.1,65.3,1.787,1,14,49,8,0,-8
,T30,Nick Taylor,299.0,58.9,69.4,1.68,0,19,42,11,0,-8
,T30,Maverick McNealy,303.9,42.9,59.7,1.558,2,18,38,14,0,-8
,T34,Greyson Sigg,296.8,62.5,73.6,1.755,0,18,43,11,0,-7
,T34,Doug Ghim,298.5,58.9,66.7,1.708,0,17,46,8,1,-7
,T34,J.J. Spaun,290.7,55.4,62.5,1.644,0,21,37,14,0,-7
,T34,Xander Schauffele,306.9,60.7,59.7,1.674,0,17,45,10,0,-7
,T34,Matt NeSmith,291.8,69.6,66.7,1.792,1,17,43,10,1,-7
,T39,Jhonattan Vegas,325.0,53.6,80.6,1.828,0,17,46,8,0,-6
,T39,Chad Ramey,285.2,44.6,65.3,1.681,0,19,40,13,0,-6
,T39,Kevin Streelman,298.8,57.1,59.7,1.791,0,14,50,8,0,-6
,T39,Alex Noren,293.9,53.6,69.4,1.78,0,16,47,8,1,-6
,T39,Gary Woodland,312.1,41.1,65.3,1.766,0,16,49,4,3,-6
,T39,Sebastián Muñoz,298.3,42.9,68.1,1.776,2,17,38,15,0,-6
,T39,Bill Haas,291.7,46.4,68.1,1.755,0,16,47,8,1,-6
,T46,Scott Stallings,305.5,50.0,68.1,1.694,0,20,39,12,0,-5
,T46,Kevin Chappell,312.0,42.9,75.0,1.796,0,15,48,8,1,-5
,T46,Hank Lebioda,291.0,60.7,70.8,1.824,0,16,47,7,2,-5
,T46,Anirban Lahiri,289.9,48.2,66.7,1.75,0,14,49,9,0,-5
,T46,Martin Laird,295.9,58.9,72.2,1.731,1,17,43,9,1,-5
,T46,Kevin Tway,312.8,51.8,69.4,1.86,0,13,51,8,0,-5
,T46,Cameron Champ,321.6,48.2,72.2,1.827,1,19,41,7,3,-5
,T46,Patrick Reed,283.9,55.4,55.6,1.9,0,13,51,8,0,-5
,T46,Christiaan Bezuidenhout,288.7,73.2,75.0,1.796,1,13,48,10,0,-5
,T46,Jimmy Walker,290.8,46.4,56.9,1.634,0,18,41,13,0,-5
,T56,David Lipsky,293.7,57.1,69.4,1.74,1,14,45,12,0,-4
,T56,Wyndham Clark,308.2,44.6,56.9,1.683,0,15,46,11,0,-4
,T56,Cam Davis,300.9,42.9,66.7,1.667,1,16,43,10,2,-4
,T56,Alex Smalley,297.4,58.9,73.6,1.736,1,16,44,8,3,-4
,T56,Robert Streb,298.2,58.9,66.7,1.729,2,11,49,9,1,-4
,T56,Adam Schenk,302.2,35.7,63.9,1.696,0,20,37,14,1,-4
,T62,Patrick Rodgers,321.2,42.9,66.7,1.792,1,15,43,12,1,-3
,T62,Francesco Molinari,292.3,51.8,61.1,1.659,0,16,46,7,3,-3
,64,Matthew Wolff,322.1,39.3,66.7,1.771,0,14,48,8,2,-2
,T65,Adam Long,288.4,60.7,59.7,1.767,0,14,46,11,1,-1
,T65,Keegan Bradley,312.4,55.4,62.5,1.778,0,14,45,13,0,-1
,T67,Curtis Thompson,313.6,48.2,63.9,1.761,0,17,40,13,2,E
,T67,Camilo Villegas,293.8,55.4,68.1,1.796,0,16,41,14,1,E
,T67,Joseph Bramlett,324.7,42.9,65.3,1.787,0,18,37,16,1,E
,T70,Andrew Novak,292.8,42.9,59.7,1.791,0,16,41,13,2,+1
,T70,Carlos Ortiz,295.0,60.7,65.3,1.787,0,16,40,15,1,+1
,T70,Chez Reavie,273.3,69.6,65.3,1.787,0,13,47,10,2,+1
,T70,Rory Sabbatini,281.3,53.6,56.9,1.683,0,15,44,10,3,+1
,T74,S.Y. Noh,294.4,39.3,63.9,1.87,1,10,47,14,0,+2
,T74,Bronson Burgoon,304.1,44.6,63.9,1.761,0,12,47,12,1,+2
,76,Scott Piercy,286.7,35.7,44.4,1.656,1,10,47,12,2,+4
,77,Michael Gligic,297.4,46.4,63.9,1.804,0,13,44,13,1,+5
,78,C.T. Pan,292.3,53.6,63.9,1.957,0,12,41,19,0,+7
,79,Adam Svensson,293.6,55.4,62.5,1.933,0,11,41,19,1,+10
