Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Chris Kirk,281.8,58.3,83.3,1.583,0,30,41,1,0,-29
,2,Sahith Theegala,289.8,56.7,87.5,1.603,0,31,38,3,0,-28
,3,Jordan Spieth,288.5,50.0,83.3,1.6,0,30,40,1,1,-27
,4,Byeong Hun An,289.1,55.0,80.6,1.655,2,27,38,5,0,-26
,T5,Sungjae Im,281.5,58.3,83.3,1.567,0,34,30,7,1,-25
,T5,Brian Harman,278.6,63.3,79.2,1.614,3,25,39,4,1,-25
,T5,J.T. Poston,283.6,61.7,86.1,1.694,1,26,42,3,0,-25
,T5,Collin Morikawa,279.5,70.0,86.1,1.71,1,24,46,1,0,-25
,T5,Scottie Scheffler,289.9,53.3,91.7,1.712,1,27,40,4,0,-25
,T10,Jason Day,292.1,60.0,81.9,1.661,1,27,40,3,1,-24
,T10,Xander Schauffele,291.9,55.0,88.9,1.766,1,23,47,1,0,-24
,T12,Sepp Straka,280.0,61.7,87.5,1.683,1,26,40,5,0,-23
,T12,Patrick Cantlay,287.6,55.0,87.5,1.778,1,25,42,4,0,-23
,T14,Adam Hadwin,281.1,60.0,86.1,1.645,0,28,38,6,0,-22
,T14,Eric Cole,288.6,61.7,79.2,1.667,0,26,42,4,0,-22
,T14,Max Homa,289.3,61.7,86.1,1.774,0,27,40,5,0,-22
,T14,Patrick Rodgers,297.6,38.3,88.9,1.75,1,25,41,5,0,-22
,T14,Tyrrell Hatton,283.0,55.0,81.9,1.627,2,24,42,3,0,-22
,T14,Matt Fitzpatrick,292.1,55.0,80.6,1.621,2,24,41,4,1,-22
,T14,Harris English,286.1,68.3,81.9,1.661,4,21,40,7,0,-22
,T14,Akshay Bhatia,283.9,56.7,79.2,1.649,0,27,41,3,1,-22
,T22,Erik van Rooyen,288.8,56.7,76.4,1.691,1,23,44,4,0,-21
,T22,Luke List,287.9,51.7,75.0,1.704,2,22,43,5,0,-21
,T22,Viktor Hovland,300.5,51.7,81.9,1.712,2,22,45,2,0,-21
,T25,Mackenzie Hughes,278.9,46.7,80.6,1.707,0,25,42,5,0,-20
,T25,Taylor Moore,298.8,63.3,81.9,1.695,2,23,40,7,0,-20
,T25,Si Woo Kim,273.6,61.7,80.6,1.724,1,21,47,3,0,-20
,T25,Nico Echavarria,276.1,61.7,76.4,1.564,2,24,40,4,2,-20
,T29,Wyndham Clark,303.3,46.7,87.5,1.762,1,21,46,4,0,-19
,T29,Kurt Kitayama,293.1,60.0,81.9,1.814,1,22,44,5,0,-19
,T29,Lucas Glover,275.0,70.0,87.5,1.746,0,23,46,2,1,-19
,T29,Adam Schenk,292.3,61.7,87.5,1.762,1,21,46,4,0,-19
,T33,Cameron Young,291.1,55.0,80.6,1.724,1,24,41,4,2,-18
,T33,Corey Conners,283.1,65.0,87.5,1.778,1,21,45,5,0,-18
,T33,Adam Svensson,286.4,66.7,83.3,1.717,1,23,41,7,0,-18
,T33,Sam Burns,297.0,50.0,76.4,1.727,2,19,46,5,0,-18
,T33,Brendon Todd,266.0,66.7,77.8,1.696,2,23,40,5,2,-18
,T38,Tom Hoge,285.0,56.7,84.7,1.721,1,23,41,6,1,-17
,T38,Tony Finau,286.5,58.3,80.6,1.655,3,22,37,9,1,-17
,T40,Justin Rose,289.8,61.7,79.2,1.719,0,25,41,4,1,-16
,T40,Andrew Putnam,275.8,73.3,88.9,1.703,0,23,43,5,1,-16
,T40,Matt Wallace,284.0,50.0,83.3,1.683,1,20,46,4,1,-16
,T43,Denny McCarthy,273.5,61.7,81.9,1.729,0,22,44,5,1,-15
,T43,Emiliano Grillo,281.1,70.0,79.2,1.737,0,22,44,5,1,-15
,T45,Tom Kim,280.5,61.7,84.7,1.869,3,14,49,6,0,-14
,T45,Keegan Bradley,286.5,48.3,83.3,1.783,1,21,41,9,0,-14
,T47,Ludvig Åberg,297.4,58.3,77.8,1.714,0,24,39,7,2,-13
,T47,Nick Hardy,290.8,70.0,90.3,1.877,0,20,46,5,1,-13
,T47,Tommy Fleetwood,283.9,60.0,75.0,1.759,0,21,43,8,0,-13
,T50,Séamus Power,281.4,65.0,81.9,1.729,2,18,44,7,0,-12
,T50,Camilo Villegas,268.6,51.7,73.6,1.717,0,18,48,6,0,-12
,T52,Davis Riley,290.3,55.0,76.4,1.727,0,24,39,6,2,-11
,T52,Cam Davis,292.4,53.3,79.2,1.719,0,23,43,2,2,-11
,T52,Russell Henley,267.5,65.0,77.8,1.732,0,20,44,7,1,-11
,T52,Nick Taylor,275.9,60.0,83.3,1.733,1,18,46,5,2,-11
,56,Rickie Fowler,272.0,55.0,79.2,1.719,0,25,35,10,1,-10
,57,Lee Hodges,288.3,60.0,80.6,1.81,0,17,47,8,0,-9
,58,Hideki Matsuyama,288.4,56.7,76.4,1.8,1,16,46,8,1,-8
,59,Vincent Norrman,295.9,55.0,76.4,1.836,0,15,48,9,0,-6
