Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Scottie Scheffler,327.9,61.0,77.3,1.655,0,27,39,8,1,-16
,2,Patrick Cantlay,319.2,66.1,68.9,1.725,1,19,49,5,0,-16
,T3,Xander Schauffele,326.1,66.1,87.5,1.762,1,17,51,2,1,-15
,T3,Brooks Koepka,333.5,48.2,72.2,1.731,0,23,41,8,0,-15
,T3,Sahith Theegala,310.9,51.8,69.4,1.68,0,24,40,7,1,-15
,T6,Billy Horschel,303.3,66.1,81.9,1.729,1,19,46,5,1,-14
,T6,Alex Noren,304.0,48.2,79.2,1.719,0,20,46,6,0,-14
,T8,Justin Thomas,329.3,39.3,76.4,1.782,0,16,53,3,0,-13
,T8,Hideki Matsuyama,314.0,53.6,75.0,1.667,1,21,40,10,0,-13
,T10,Matt Fitzpatrick,317.2,50.0,68.1,1.735,0,23,39,9,1,-12
,T10,Jon Rahm,330.5,67.9,81.9,1.814,1,16,49,6,0,-12
,T10,Keith Mitchell,330.7,64.3,68.1,1.776,0,18,48,6,0,-12
,T10,Patton Kizzire,320.8,55.4,81.9,1.78,1,18,45,8,0,-12
,T14,Martin Laird,309.8,69.6,66.7,1.729,0,18,47,7,0,-11
,T14,Brian Harman,311.3,64.3,76.4,1.818,1,18,45,7,1,-11
,T14,Chris Kirk,315.1,57.1,79.2,1.772,1,18,46,6,0,-11
,T14,Louis Oosthuizen,315.2,50.0,76.4,1.727,2,17,43,10,0,-11
,T14,Bubba Watson,308.1,55.4,73.6,1.698,1,18,44,9,0,-11
,T14,Tom Hoge,305.5,55.4,69.4,1.7,1,17,46,8,0,-11
,T14,Max Homa,322.4,69.6,75.0,1.796,0,17,49,6,0,-11
,T21,Scott Stallings,319.3,57.1,61.1,1.682,0,22,38,12,0,-10
,T21,Garrick Higgo,324.0,53.6,73.6,1.83,0,19,45,7,1,-10
,T23,Sebastián Muñoz,322.9,69.6,76.4,1.873,1,20,39,11,1,-9
,T23,Sam Ryder,300.6,58.9,73.6,1.811,1,17,45,8,1,-9
,T23,J.T. Poston,316.6,57.1,66.7,1.875,1,14,50,7,0,-9
,T26,Sung Kang,302.8,64.3,76.4,1.745,0,20,40,12,0,-8
,T26,Keegan Bradley,321.7,67.9,75.0,1.833,0,18,46,6,2,-8
,T26,Si Woo Kim,314.3,69.6,76.4,1.836,0,17,46,9,0,-8
