Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Rory McIlroy,349.6,69.6,70.8,1.647,2,21,41,8,0,-17
,2,Kurt Kitayama,332.5,64.3,73.6,1.679,1,20,45,6,0,-16
,3,K.H. Lee,307.1,76.8,81.9,1.78,0,20,48,3,1,-15
,T4,Tommy Fleetwood,307.2,75.0,68.1,1.51,0,26,34,12,0,-14
,T4,Jon Rahm,317.6,80.4,75.0,1.722,0,24,38,10,0,-14
,6,Aaron Wise,324.2,71.4,63.9,1.652,1,17,47,7,0,-12
,T7,Billy Horschel,312.0,76.8,77.8,1.768,0,18,47,7,0,-11
,T7,Sam Burns,326.9,73.2,63.9,1.652,1,17,46,8,0,-11
,T7,Lee Hodges,310.3,73.2,77.8,1.696,0,17,49,6,0,-11
,T7,Brendon Todd,290.2,76.8,76.4,1.691,0,24,36,11,1,-11
,T11,Jason Day,317.5,75.0,75.0,1.741,1,17,46,7,1,-10
,T11,Tom Kim,304.7,89.3,70.8,1.725,1,16,48,6,1,-10
,T13,Taylor Montgomery,330.4,69.6,69.4,1.7,1,17,44,10,0,-9
,T13,Matt Fitzpatrick,320.0,80.4,72.2,1.788,1,15,48,8,0,-9
,T13,Tyrrell Hatton,319.9,73.2,62.5,1.667,2,14,49,5,2,-9
,T13,Tom Hoge,306.3,75.0,80.6,1.724,0,19,43,10,0,-9
,T13,Cam Davis,322.9,62.5,65.3,1.617,0,20,41,11,0,-9
,T18,Brendan Steele,310.6,75.0,77.8,1.786,0,15,50,7,0,-8
,T18,Mito Pereira,340.6,76.8,75.0,1.815,0,16,48,8,0,-8
,T18,Maverick McNealy,321.9,64.3,61.1,1.682,0,17,46,9,0,-8
,T21,Keegan Bradley,311.9,75.0,69.4,1.74,1,13,52,4,2,-7
,T21,Viktor Hovland,323.9,85.7,56.9,1.78,0,15,49,8,0,-7
,T23,Max Homa,308.3,66.1,63.9,1.717,0,20,40,10,2,-6
,T23,Cameron Young,320.2,66.1,75.0,1.778,0,18,43,10,1,-6
,T23,Corey Conners,310.8,76.8,69.4,1.76,1,13,49,9,0,-6
,T23,Brian Harman,299.2,82.1,68.1,1.755,0,16,46,10,0,-6
,T23,Shane Lowry,317.7,83.9,75.0,1.796,0,14,50,8,0,-6
,T23,Taylor Moore,316.8,66.1,66.7,1.75,1,13,49,9,0,-6
,T29,Andrew Putnam,289.6,73.2,70.8,1.843,0,13,51,8,0,-5
,T29,Justin Suh,301.9,89.3,81.9,1.831,0,15,50,6,0,-5
,T29,Matt Kuchar,297.3,83.9,76.4,1.818,0,17,44,10,1,-5
,T29,Collin Morikawa,302.3,87.5,79.2,1.825,0,17,44,10,1,-5
,T29,Wyndham Clark,339.5,76.8,73.6,1.792,1,15,45,10,1,-5
,T34,Hideki Matsuyama,305.2,73.2,65.3,1.766,0,14,49,8,1,-4
,T34,Rickie Fowler,325.9,83.9,80.6,1.897,0,16,45,10,1,-4
,T34,Sungjae Im,311.4,82.1,59.7,1.814,0,14,48,10,0,-4
,T37,Denny McCarthy,313.1,78.6,70.8,1.843,0,12,53,5,2,-3
,T37,Alex Noren,309.8,75.0,76.4,1.836,0,12,52,7,1,-3
,T37,Bio Kim,299.1,57.1,66.7,1.833,0,12,51,9,0,-3
,T40,Justin Thomas,321.7,73.2,69.4,1.84,1,15,42,13,1,-2
,T40,Sebastián Muñoz,303.3,83.9,73.6,1.774,0,13,50,8,0,-2
,T40,Harris English,295.9,57.1,54.2,1.744,0,13,49,9,1,-2
,T40,Keith Mitchell,315.0,80.4,59.7,1.814,0,15,45,11,1,-2
,T40,Danny Willett,306.8,76.8,65.3,1.638,0,18,41,11,1,-2
,T45,Ryan Palmer,300.2,75.0,63.9,1.63,0,21,34,15,1,-1
,T45,Scottie Scheffler,321.3,80.4,75.0,1.833,0,13,47,12,0,-1
,T45,Emiliano Grillo,313.8,85.7,66.7,1.854,0,12,49,11,0,-1
,T45,Russell Henley,309.0,83.9,72.2,1.75,0,16,43,11,2,-1
,T49,Sanghyun Park,290.0,73.2,56.9,1.756,0,15,42,15,0,E
,T49,Adam Hadwin,296.9,73.2,61.1,1.659,1,13,45,11,2,E
,T49,Séamus Power,321.5,67.9,65.3,1.702,1,12,47,10,2,E
,T52,Davis Riley,300.2,66.1,72.2,1.75,0,16,42,11,3,+1
,T52,Webb Simpson,309.1,66.1,61.1,1.795,0,11,49,12,0,+1
,T52,Jordan Spieth,320.5,64.3,65.3,1.766,0,15,44,11,1,+1
