Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Tom Kim,314.0,71.4,75.0,1.63,1,27,36,7,1,-20
,2,Adam Hadwin,325.0,69.6,77.8,1.661,1,24,40,7,0,-19
,T3,Eric Cole,319.8,60.7,80.6,1.69,1,26,36,8,1,-18
,T3,Alex Noren,321.2,64.3,84.7,1.721,1,20,47,4,0,-18
,T3,J.T. Poston,312.7,51.8,79.2,1.614,4,21,38,8,0,-18
,T3,Taylor Pendrith,328.8,66.1,83.3,1.75,0,21,48,3,0,-18
,T7,Joel Dahmen,323.5,69.6,83.3,1.733,3,18,46,3,2,-17
,T7,Cam Davis,325.6,69.6,80.6,1.69,1,22,42,7,0,-17
,T7,Chesson Hadley,328.1,67.9,83.3,1.7,0,25,40,6,1,-17
,T7,Beau Hossler,317.1,58.9,83.3,1.683,1,22,43,5,1,-17
,T7,Isaiah Salinda,328.5,71.4,76.4,1.745,1,23,41,6,1,-17
,T7,K.H. Lee,331.7,60.7,75.0,1.63,2,20,43,7,0,-17
,T13,Ludvig Åberg,335.9,58.9,79.2,1.719,1,20,46,4,1,-16
,T13,Ryan Moore,311.9,62.5,76.4,1.636,0,21,46,5,0,-16
,T13,Nick Taylor,307.2,58.9,73.6,1.585,2,20,43,6,1,-16
,T13,Vince Whaley,334.3,64.3,81.9,1.746,0,21,46,5,0,-16
,T13,Lanto Griffin,317.3,66.1,73.6,1.698,1,19,47,5,0,-16
,T18,Michael Kim,321.4,53.6,70.8,1.647,1,24,36,11,0,-15
,T18,Tyler Duncan,313.0,82.1,80.6,1.776,0,20,47,5,0,-15
,T18,Cameron Champ,339.6,64.3,79.2,1.632,1,26,34,10,0,-15
,T18,Luke List,331.9,67.9,86.1,1.823,1,21,43,6,1,-15
,T18,Adam Svensson,328.7,76.8,76.4,1.764,2,17,47,6,0,-15
,T23,Erik van Rooyen,319.8,58.9,80.6,1.707,0,21,44,7,0,-14
,T23,Kelly Kraft,313.3,64.3,81.9,1.695,0,19,48,5,0,-14
,T23,Callum Tarren,330.4,53.6,80.6,1.672,2,20,41,8,1,-14
,T26,Matti Schmid,326.7,69.6,77.8,1.732,1,21,41,8,1,-13
,T26,Harry Hall,313.9,55.4,68.1,1.612,2,19,42,8,1,-13
,T28,Ben Taylor,339.1,55.4,77.8,1.75,2,16,46,8,0,-12
,T28,Aaron Rai,312.8,71.4,77.8,1.714,0,22,41,8,1,-12
,T28,Greyson Sigg,317.9,62.5,81.9,1.746,0,20,44,8,0,-12
,T28,Matt Wallace,318.2,62.5,66.7,1.688,0,21,43,7,1,-12
,T28,Davis Riley,336.4,67.9,73.6,1.717,1,22,38,10,1,-12
,T28,Sam Ryder,309.9,55.4,77.8,1.768,0,19,46,7,0,-12
,T28,Nicholas Lindheim,320.1,69.6,83.3,1.8,0,16,52,4,0,-12
,T35,Akshay Bhatia,323.7,58.9,76.4,1.727,1,20,41,9,1,-11
,T35,Davis Thompson,326.6,60.7,83.3,1.783,2,17,45,6,2,-11
,T35,Austin Smotherman,323.0,67.9,77.8,1.696,0,24,38,9,0,-11
,T35,Adam Long,307.8,69.6,80.6,1.759,0,20,43,9,0,-11
,T35,Taylor Montgomery,314.3,57.1,76.4,1.727,2,20,38,11,1,-11
,T35,Henrik Norlander,309.6,53.6,79.2,1.719,1,19,44,6,2,-11
,T35,Brent Grant,341.5,62.5,68.1,1.673,3,19,37,12,1,-11
,T42,Scott Piercy,316.6,73.2,72.2,1.673,1,19,44,6,1,-10
,T42,Zac Blair,299.8,66.1,68.1,1.694,1,19,41,11,0,-10
,T42,Nate Lashley,300.3,57.1,77.8,1.679,0,21,41,9,1,-10
,T42,Matt NeSmith,319.9,64.3,77.8,1.768,2,16,44,10,0,-10
,T46,Sam Stevens,332.9,66.1,73.6,1.66,1,23,34,12,2,-9
,T46,J.J. Spaun,319.1,67.9,84.7,1.836,2,17,42,10,1,-9
,T46,Garrick Higgo,332.0,60.7,72.2,1.538,0,27,32,8,5,-9
,T46,Webb Simpson,323.3,71.4,66.7,1.688,2,17,41,12,0,-9
,T46,Chad Ramey,314.0,62.5,72.2,1.712,1,20,40,9,2,-9
,T46,Patton Kizzire,315.8,60.7,77.8,1.786,2,17,43,8,2,-9
,T52,Carl Yuan,323.5,55.4,77.8,1.768,2,18,38,14,0,-8
,T52,Brandt Snedeker,304.8,64.3,73.6,1.717,1,17,44,9,1,-8
,T52,Yuxin Lin,342.5,53.6,68.1,1.673,2,17,43,7,3,-8
,55,Nick Hardy,318.2,42.9,79.2,1.754,1,20,38,11,2,-7
,T56,Christiaan Bezuidenhout,305.8,50.0,75.0,1.778,1,19,39,11,2,-6
,T56,Harrison Endycott,300.5,66.1,72.2,1.827,1,14,48,8,1,-6
,T56,Justin Suh,327.2,57.1,68.1,1.735,0,17,46,7,2,-6
,T56,Nicolai Højgaard,330.3,39.3,69.4,1.62,0,22,37,10,3,-6
,T56,Trevor Werbylo,338.7,57.1,76.4,1.782,2,16,44,7,2,-6
,T61,Tano Goya,326.9,67.9,75.0,1.796,1,21,38,8,2,-5
,T61,Alex Smalley,329.2,57.1,72.2,1.827,2,16,40,13,1,-5
,63,Matthias Schwab,308.8,51.8,75.0,1.833,0,12,51,9,0,-3
,T64,Hayden Buckley,315.0,64.3,73.6,1.792,0,12,53,5,1,-2
,T64,Troy Merritt,314.2,75.0,70.8,1.804,0,15,46,9,2,-2
,T66,Jason Dufner,312.8,62.5,73.6,1.679,1,17,41,8,5,-1
,T66,Doc Redman,302.4,58.9,69.4,1.86,0,17,40,14,1,-1
,68,James Hahn,309.9,64.3,72.2,1.865,0,12,48,9,3,3
