Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Corey Conners,282.0,73.7,80.0,1.7,0,9,14,1,1,-15
,2,Sam Stevens,304.1,21.4,61.1,1.727,0,3,12,3,0,-14
,T3,Sam Ryder,263.3,43.8,65.0,1.692,0,5,11,4,0,-13
,T3,Matt Kuchar,296.6,50.0,72.2,1.538,0,6,10,2,0,-13
,5,Patrick Rodgers,314.3,64.3,72.2,1.769,0,7,10,1,0,-11
,T6,Chez Reavie,293.3,73.7,79.2,1.789,0,4,19,1,0,-10
,T6,Byeong Hun An,334.6,60.0,88.5,1.87,0,6,17,3,0,-10
,T6,Lee Hodges,292.0,57.1,66.7,2.0,0,2,12,4,0,-10
,9,Andrew Novak,295.8,35.7,72.2,1.692,0,5,11,2,0,-9
,T10,Rickie Fowler,303.1,57.9,79.2,1.895,0,3,18,2,1,-8
,T10,Ben Martin,297.5,71.4,66.7,1.75,0,4,12,2,0,-8
,T10,Hayden Buckley,306.7,36.8,72.0,1.667,1,5,17,2,0,-8
,T10,Padraig Harrington,311.2,35.7,55.6,1.5,0,6,10,2,0,-8
,T10,Chris Kirk,304.3,43.8,65.0,1.615,0,5,14,1,0,-8
,T15,Robby Shelton,294.5,57.7,55.9,1.684,0,7,22,5,0,-7
,T15,Lanto Griffin,309.9,43.8,70.0,2.0,0,2,15,3,0,-7
,T15,MJ Daffue,305.7,53.9,47.1,1.625,0,4,12,0,1,-7
,T15,Alex Noren,291.2,50.0,65.2,1.667,0,5,14,4,0,-7
,T15,Hideki Matsuyama,293.1,69.2,64.7,1.818,0,2,15,0,0,-7
,T15,Nick Taylor,298.8,57.1,66.7,1.583,0,5,11,2,0,-7
,T15,S.H. Kim,303.7,57.1,66.7,1.75,0,3,12,3,0,-7
,T22,Peter Malnati,310.0,64.3,66.7,1.583,0,7,9,2,0,-6
,T22,Sepp Straka,313.1,42.9,50.0,1.667,0,4,10,3,1,-6
,T22,J.J. Spaun,298.1,50.0,56.5,1.692,0,4,16,3,0,-6
,T22,Charley Hoffman,316.4,69.2,64.7,1.818,0,2,12,3,0,-6
,T22,Jimmy Walker,317.1,28.6,50.0,1.667,0,5,10,3,0,-6
,T22,Taylor Montgomery,304.8,53.9,64.7,1.727,0,4,12,1,0,-6
,T28,Harry Hall,287.4,42.9,44.4,1.75,0,4,9,5,0,-5
,T28,Christiaan Bezuidenhout,293.7,68.8,89.5,1.824,0,4,14,1,0,-5
,T28,Nick Hardy,299.3,35.7,44.4,1.75,0,4,10,4,0,-5
,T28,Aaron Rai,298.9,61.1,69.6,1.75,0,4,16,3,0,-5
,T28,Matt Wallace,323.3,47.4,66.7,1.688,0,7,13,4,0,-5
,T28,Nicolai Højgaard,308.7,42.9,66.7,1.833,0,3,12,3,0,-5
,T28,Andrew Putnam,295.6,42.9,66.7,1.75,0,3,13,2,0,-5
,T28,Nico Echavarria,302.4,47.1,63.6,1.714,0,4,15,3,0,-5
,T28,Harry Higgs,306.0,50.0,70.6,1.75,0,4,11,2,0,-5
,T37,Roberto Díaz,283.6,71.4,70.6,1.583,0,5,10,2,0,-4
,T37,Augusto Núñez,302.6,35.3,76.2,1.688,0,6,12,3,0,-4
,T39,Si Woo Kim,292.2,57.9,68.0,1.706,0,6,15,3,0,-3
,T39,Luke List,319.7,41.2,65.0,1.846,0,4,13,3,0,-3
,T39,Eric Cole,306.4,60.0,57.9,1.636,0,4,12,3,0,-3
,T39,Kevin Chappell,299.6,42.9,72.2,1.692,0,4,11,3,0,-3
,T39,Michael Thompson,309.4,75.0,68.4,1.769,0,5,12,2,0,-3
,T39,Dylan Wu,288.6,59.1,81.5,1.864,0,6,18,3,0,-3
,45,Lucas Glover,280.7,57.1,83.3,2.0,0,2,12,3,1,-2
,T46,Akshay Bhatia,309.9,46.2,58.8,2.0,0,1,14,2,0,-1
,T46,Tano Goya,295.3,42.1,64.0,1.75,0,4,18,3,0,-1
,T46,Kevin Streelman,302.4,57.1,55.6,1.7,0,3,13,2,0,-1
,T46,Luke Donald,280.3,57.9,68.0,1.765,0,5,17,3,0,-1
,T46,Beau Hossler,306.3,64.7,77.3,1.647,0,6,12,4,0,-1
,T46,Matti Schmid,330.7,60.0,61.5,1.813,0,4,19,2,1,-1
,T46,Michael Kim,321.3,57.1,50.0,1.222,0,7,8,3,0,-1
