Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Hideki Matsuyama,0,59.6,81.9,1.78,2,16,49,5,0,-15
,T2,Brendan Steele,0,53.9,69.4,1.66,1,18,44,8,1,-10
,T2,Cameron Tringale,0,55.8,73.6,1.698,0,17,48,7,0,-10
,T4,Mackenzie Hughes,0,67.3,63.9,1.696,0,16,46,10,0,-6
,T4,Sebastián Muñoz,0,61.5,66.7,1.688,0,19,42,9,2,-6
,T4,Matt Wallace,0,59.6,66.7,1.688,0,17,44,11,0,-6
,T7,Keegan Bradley,0,57.7,61.1,1.795,0,15,47,10,0,-5
,T7,Takumi Kanaya,0,50.0,62.5,1.778,0,13,51,8,0,-5
,T7,Lanto Griffin,0,51.9,59.7,1.721,0,14,50,7,1,-5
,T7,Sam Ryder,0,55.8,62.5,1.733,2,11,51,6,2,-5
,T7,Luke List,0,50.0,70.8,1.784,0,18,41,13,0,-5
,T7,Collin Morikawa,0,55.8,69.4,1.74,1,14,47,9,1,-5
,T7,Branden Grace,0,53.9,58.3,1.762,0,15,48,8,1,-5
,T7,Tommy Fleetwood,0,46.2,56.9,1.659,2,13,46,10,1,-5
,T15,Chan Kim,0,48.1,66.7,1.771,1,13,47,11,0,-4
,T15,James Hahn,0,61.5,69.4,1.8,0,11,55,5,1,-4
,17,Tom Hoge,0,57.7,56.9,1.732,0,14,47,11,0,-3
,T18,Henrik Norlander,0,51.9,62.5,1.711,1,13,45,13,0,-2
,T18,K.H. Lee,0,50.0,63.9,1.783,0,15,46,9,2,-2
,T18,Shugo Imahira,0,50.0,61.1,1.75,0,15,45,11,1,-2
,T18,Si Woo Kim,0,63.5,62.5,1.844,0,9,57,5,1,-2
,T18,Hiroshi Iwata,0,51.9,68.1,1.776,1,11,52,5,3,-2
,T18,Matt Jones,0,57.7,61.1,1.795,0,12,50,10,0,-2
,T18,Alex Noren,0,36.5,61.1,1.795,0,12,51,8,1,-2
,T25,Maverick McNealy,0,59.6,69.4,1.88,0,11,53,7,0,-1
,T25,Adam Long,0,61.5,63.9,1.739,0,14,46,11,1,-1
,T25,Wyndham Clark,0,36.5,58.3,1.738,0,14,45,13,0,-1
,T28,Naoto Nakanishi,0,40.4,51.4,1.622,0,17,40,13,2,E
,T28,Charley Hoffman,0,40.4,61.1,1.773,0,14,46,10,2,E
,T28,Xander Schauffele,0,59.6,59.7,1.698,0,14,45,12,1,E
,T28,Keita Nakajima,0,38.5,63.9,1.783,0,11,50,11,0,E
,T28,Troy Merritt,0,63.5,59.7,1.814,0,11,53,6,1,E
,T28,Joaquín Niemann,0,55.8,69.4,1.74,0,16,44,9,2,E
,T28,Adam Schenk,0,44.2,55.6,1.75,0,13,47,11,1,E
,T35,Jinichiro Kozuma,0,51.9,54.2,1.769,0,13,49,7,2,+1
,T35,Kyle Stanley,0,65.4,68.1,1.776,0,13,47,11,0,+1
,T35,Yuki Inamori,0,73.1,56.9,1.756,0,13,46,12,1,+1
,T35,Tomoharu Otsuki,0,57.7,65.3,1.872,0,11,49,12,0,+1
,T39,Ryutaro Nagano,0,61.5,70.8,1.863,0,12,47,12,1,+2
,T39,Andrew Putnam,0,57.7,61.1,1.818,1,10,47,14,0,+2
,T39,Rikuya Hoshino,0,55.8,59.7,1.814,0,15,42,13,2,+2
,T39,Shaun Norris,0,63.5,62.5,1.844,0,11,49,11,1,+2
,T39,Harry Higgs,0,67.3,56.9,1.78,0,13,45,13,1,+2
,T44,Rickie Fowler,0,51.9,58.3,1.881,0,13,47,9,2,+3
,T44,Pat Perez,0,51.9,61.1,1.75,0,13,45,12,2,+3
,T44,Ryan Palmer,0,44.2,70.8,1.882,0,9,53,8,2,+3
,T44,Ryuichi Oiwa,0,63.5,62.5,1.889,0,10,50,11,1,+3
,T48,Sung Kang,0,50.0,50.0,1.694,0,14,45,10,1,+4
,T48,Matt NeSmith,0,50.0,68.1,1.796,0,14,42,14,2,+4
,T48,Erik van Rooyen,0,40.4,59.7,1.86,0,11,47,13,1,+4
,T48,Chris Kirk,0,55.8,59.7,1.907,0,8,53,10,1,+4
,T52,Ryo Hisatsune,0,65.4,72.2,1.865,0,10,52,5,5,+5
,T52,Bill Haas,0,55.8,63.9,1.848,0,8,52,11,1,+5
,T54,Will Zalatoris,0,51.9,63.9,1.891,0,10,48,12,2,+6
,T54,Brandon Hagy,0,46.2,55.6,1.85,0,13,40,19,0,+6
,T54,Jhonattan Vegas,0,46.2,56.9,1.805,0,13,42,15,2,+6
,T57,C.T. Pan,0,63.5,61.1,1.795,0,12,45,11,4,+7
,T57,Tomoyasu Sugiyama,0,42.3,59.7,1.93,0,8,49,15,0,+7
,T57,Kazuki Higa,0,53.9,58.3,1.833,0,9,50,10,3,+7
,T57,Satoshi Kodaira,0,57.7,65.3,1.851,0,14,44,9,3,+7
,T57,Kramer Hickok,0,63.5,61.1,1.818,0,13,39,20,0,+7
,T62,Brendon Todd,0,59.6,55.6,1.825,0,12,41,18,1,+8
,T62,Chesson Hadley,0,46.2,55.6,1.875,0,10,44,18,0,+8
,T62,Robert Streb,0,61.5,62.5,1.933,1,6,53,10,1,+8
,T62,Tyler McCumber,0,46.2,58.3,1.929,1,7,51,10,2,+8
,T66,Sepp Straka,0,40.4,54.2,1.718,0,12,46,8,5,+9
,T66,Scott Vincent,0,42.3,58.3,1.952,0,6,52,13,1,+9
,T66,Naoyuki Kataoka,0,48.1,48.6,1.857,0,10,46,14,1,+9
,T66,Ryosuke Kinoshita,0,63.5,52.8,1.789,0,14,40,13,5,+9
,T66,Doug Ghim,0,48.1,56.9,1.878,0,7,50,14,1,+9
,T71,Wesley Bryan,0,55.8,65.3,1.872,1,9,44,15,3,+10
,T71,Roger Sloan,0,50.0,47.2,1.765,0,11,44,13,4,+10
,73,Emiliano Grillo,0,57.7,66.7,1.917,0,8,49,11,4,+11
,74,Peter Malnati,0,42.3,50.0,1.75,0,11,41,17,3,+12
,T75,Doc Redman,0,48.1,44.4,1.844,0,10,38,24,0,+14
,T75,Garrick Higgo,0,38.5,52.8,1.711,0,12,37,20,3,+14
,77,Ryuji Imada,0,38.5,38.9,1.893,0,4,47,21,0,+17
