Tournament ID,Year,Tournament name,Date,Location,Par,Yards,Purse
401580360,2024,The Open,"July 18 - 21, 2024","Royal Troon Golf Course - Troon, Scotland",71,7385,17000000
401634279,2024,ISCO Championship,"July 11 - 14, 2024","Keene Trace Golf Club (Champions Course) - Nicholasville, KY",72,7328,4000000
401580359,2024,Genesis Scottish Open,"July 11 - 14, 2024","The Renaissance Club - North Berwick, Scotland",70,7237,9000000
401580358,2024,John Deere Classic,"July 4 - 7, 2024","TPC Deere Run - Silvis, IL",71,7289,8000000
401580357,2024,Rocket Mortgage Classic,"June 27 - 30, 2024","Detroit Golf Club - Detroit, MI",72,7370,9200000
401580356,2024,Travelers Championship,"June 20 - 23, 2024","TPC River Highlands - Cromwell, CT",70,6835,20000000
401580355,2024,U.S. Open,"June 13 - 16, 2024","Pinehurst No. 2 - Pinehurst, NC",70,7569,21500000
401580354,2024,the Memorial Tournament pres. by Workday,"June 6 - 9, 2024","Muirfield Village Golf Club - Dublin, OH",72,7569,20000000
401580353,2024,RBC Canadian Open,"May 30 - June 2, 2024","Hamilton Golf & Country Club - Hamilton, ON",70,7084,9400000
401580352,2024,Charles Schwab Challenge,"May 23 - 26, 2024","Colonial Country Club - Fort Worth, TX",70,7289,9100000
401580351,2024,PGA Championship,"May 16 - 19, 2024","Valhalla Golf Club - Louisville, KY",71,7609,18500000
401580350,2024,Myrtle Beach Classic,"May 9 - 12, 2024","Dunes Golf & Beach Club - Myrtle Beach, SC",71,7347,4000000
401580349,2024,Wells Fargo Championship,"May 9 - 12, 2024","Quail Hollow Club - Charlotte, NC",71,7558,20000000
401580348,2024,THE CJ CUP Byron Nelson,"May 2 - 5, 2024","TPC Craig Ranch - McKinney, TX",71,7414,9500000
401580346,2024,Corales Puntacana Championship,"April 18 - 21, 2024","Puntacana Resort & Club (Corales Golf Course) - Punta Cana, Dominican Republic",72,7670,4000000
401580345,2024,RBC Heritage,"April 18 - 22, 2024","Harbour Town Golf Links - Hilton Head Island, SC",71,7213,20000000
401580344,2024,Masters Tournament,"April 11 - 14, 2024","Augusta National Golf Club - Augusta, GA",72,7555,20000000
401580343,2024,Valero Texas Open,"April 4 - 7, 2024","TPC San Antonio (Oaks Course) - San Antonio, TX",72,7438,9200000
401580342,2024,Texas Children's Houston Open,"March 28 - 31, 2024","Memorial Park Golf Course - Houston, TX",70,7435,9100000
401580341,2024,Valspar Championship,"March 21 - 24, 2024","Innisbrook Resort (Copperhead Course) - Palm Harbor, FL",71,7340,8400000
401580340,2024,THE PLAYERS Championship,"March 14 - 17, 2024","TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL",72,7275,25000000
401580339,2024,Puerto Rico Open,"March 7 - 10, 2024","Grand Reserve Country Club - Rio Grande, Puerto Rico",72,7506,4000000
401580338,2024,Arnold Palmer Invitational pres. by Mastercard,"March 7 - 10, 2024","Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL",72,7466,20000000
401580337,2024,Cognizant Classic,"Feb 29 - March 3, 2024","PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL",71,7147,9000000
401580336,2024,Mexico Open at Vidanta,"February 22 - 25, 2024","Vidanta Vallarta - Nuevo Vallarta, Mexico",71,7456,8100000
401580335,2024,The Genesis Invitational,"February 15 - 18, 2024","Riviera Country Club - Pacific Palisades, CA",71,7322,20000000
401580334,2024,WM Phoenix Open,"February 8 - 11, 2024","TPC Scottsdale (Stadium Course) - Scottsdale, AZ",71,7261,8800000
401580332,2024,Farmers Insurance Open,"January 24 - 27, 2024","Torrey Pines (North Course) - La Jolla, CA",72,7258,
401580331,2024,The American Express,"January 18 - 21, 2024","La Quinta Country Club - La Quinta, CA",72,7060,
401580330,2024,Sony Open in Hawaii,"January 11 - 14, 2024","Waialae Country Club - Honolulu, HI",70,7044,8300000
401580329,2024,The Sentry,"January 4 - 7, 2024","Kapalua Resort (Plantation Course) - Kapalua, HI",73,7596,20000000
401353276,2021-22,TOUR Championship,"August 25 - 28, 2022","East Lake Golf Club - Atlanta, GA",70,7346,
401353275,2021-22,BMW Championship,"August 18 - 21, 2022","Wilmington Country Club (South Course) - Wilmington, DE",71,7534,15000000
401353274,2021-22,FedEx St. Jude Championship,"August 11 - 14, 2022","TPC Southwind - Memphis, TN",70,7243,15000000
401353213,2021-22,Wyndham Championship,"August 4 - 7, 2022","Sedgefield Country Club - Greensboro, NC",70,7131,7300000
401353214,2021-22,Rocket Mortgage Classic,"July 28 - 31, 2022","Detroit Golf Club - Detroit, MI",72,7370,8400000
401353215,2021-22,3M Open,"July 21 - 24, 2022","TPC Twin Cities - Blaine, MN",71,7431,7500000
401353216,2021-22,Barracuda Championship,"July 14 - 17, 2022","Tahoe Mountain Club (Old Greenwood) - Truckee, CA",71,7480,3700000
401353217,2021-22,The Open,"July 14 - 17, 2022","St Andrews Links (Old Course) - St. Andrews, Scotland",72,7313,14000000
401353218,2021-22,Barbasol Championship,"July 7 - 10, 2022","Keene Trace Golf Club (Champions Course) - Nicholasville, KY",72,7328,3700000
401353219,2021-22,Genesis Scottish Open,"July 7 - 10, 2022","The Renaissance Club - North Berwick, Scotland",70,7237,8000000
401353220,2021-22,John Deere Classic,"Jun 30 - July 3, 2022","TPC Deere Run - Silvis, IL",71,7289,7100000
401353221,2021-22,Travelers Championship,"June 23 - 26, 2022","TPC River Highlands - Cromwell, CT",70,6852,8300000
401353222,2021-22,U.S. Open,"June 16 - 19, 2022","The Country Club - Brookline, MA",70,7254,17500000
401353223,2021-22,RBC Canadian Open,"June 9 - 12, 2022","St. George's Golf and Country Club - Toronto, ON",70,7014,8700000
401353224,2021-22,the Memorial Tournament pres. by Workday,"June 2 - 5, 2022","Muirfield Village Golf Club - Dublin, OH",72,7533,12000000
401353225,2021-22,Charles Schwab Challenge,"May 26 - 29, 2022","Colonial Country Club - Fort Worth, TX",70,7209,8400000
401353226,2021-22,PGA Championship,"May 19 - 22, 2022","Southern Hills Country Club - Tulsa, OK",70,7556,15000000
401353227,2021-22,AT&T Byron Nelson,"May 12 - 15, 2022","TPC Craig Ranch - McKinney, TX",72,7468,9100000
401353228,2021-22,Wells Fargo Championship,"May 5 - 8, 2022","TPC Potomac at Avenel Farm - Potomac, MD",70,7160,9000000
401353229,2021-22,Mexico Open,"Apr 28 - May 1, 2022","Vidanta Vallarta - Nuevo Vallarta, Mexico",71,7456,7300000
401353231,2021-22,RBC Heritage,"April 14 - 17, 2022","Harbour Town Golf Links - Hilton Head Island, SC",71,7191,8000000
401353232,2021-22,Masters Tournament,"April 7 - 10, 2022","Augusta National Golf Club - Augusta, GA",72,7475,15000000
401353273,2021-22,Valero Texas Open,"Mar 31 - April 3, 2022","TPC San Antonio (Oaks Course) - San Antonio, TX",72,7438,8600000
401353294,2021-22,Corales Puntacana Championship,"March 24 - 27, 2022","Puntacana Resort & Club (Corales Golf Course) - Punta Cana, Dominican Republic",72,7670,3700000
401353255,2021-22,Valspar Championship,"March 17 - 20, 2022","Innisbrook Resort (Copperhead Course) - Palm Harbor, FL",71,7340,7800000
401353254,2021-22,THE PLAYERS Championship,"March 10 - 14, 2022","TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL",72,7256,20000000
401353253,2021-22,Puerto Rico Open,"March 3 - 6, 2022","Grand Reserve Country Club - Rio Grande, Puerto Rico",72,7506,3700000
401353239,2021-22,Arnold Palmer Invitational pres. by Mastercard,"March 3 - 6, 2022","Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL",72,7466,12000000
401353238,2021-22,The Honda Classic,"February 24 - 27, 2022","PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL",70,7125,8000000
401353237,2021-22,The Genesis Invitational,"February 17 - 20, 2022","Riviera Country Club - Pacific Palisades, CA",71,7322,12000000
401353236,2021-22,WM Phoenix Open,"February 10 - 13, 2022","TPC Scottsdale (Stadium Course) - Scottsdale, AZ",71,7261,8200000
401353234,2021-22,Farmers Insurance Open,"January 26 - 29, 2022","Torrey Pines (North Course) - La Jolla, CA",72,7258,
