name,id,year
Hero World Challenge,401552861,2022-23
World Wide Technology Championship,401552858,2022-23
ZOZO CHAMPIONSHIP,401552857,2022-23
Shriners Children's Open,401552856,2022-23
Fortinet Championship,401552854,2022-23
TOUR Championship,401465545,2022-23
BMW Championship,401465544,2022-23
FedEx St. Jude Championship,401465543,2022-23
Wyndham Championship,401465542,2022-23
3M Open,401465541,2022-23
Barracuda Championship,401465540,2022-23
The Open,401465539,2022-23
Barbasol Championship,401465538,2022-23
Genesis Scottish Open,401465537,2022-23
John Deere Classic,401465536,2022-23
Rocket Mortgage Classic,401465535,2022-23
Travelers Championship,401465534,2022-23
U.S. Open,401465533,2022-23
RBC Canadian Open,401465532,2022-23
The Memorial Tournament,401465531,2022-23
Charles Schwab Challenge,401465530,2022-23
PGA Championship,401465523,2022-23
AT&T Byron Nelson,401465520,2022-23
Wells Fargo Championship,401465519,2022-23
Mexico Open,401465515,2022-23
RBC Heritage,401465509,2022-23
Masters Tournament,401465508,2022-23
Valero Texas Open,401465502,2022-23
Corales Puntacana Championship,401465529,2022-23
Valspar Championship,401465527,2022-23
THE PLAYERS Championship,401465526,2022-23
Arnold Palmer Invitational,401465524,2022-23
Puerto Rico Open,401465525,2022-23
The Honda Classic,401465522,2022-23
The Genesis Invitational,401465521,2022-23
WM Phoenix Open,401465518,2022-23
Farmers Insurance Open,401465516,2022-23
The American Express,401465514,2022-23
Sony Open in Hawaii,401465513,2022-23
Sentry Tournament of Champions,401465512,2022-23
The RSM Classic,401552860,2022-23
Cadence Bank Houston Open,401465505,2022-23
Butterfield Bermuda Championship,401552859,2022-23
THE CJ CUP in South Carolina,401465501,2022-23
Sanderson Farms Championship,401552855,2022-23
